Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000312	Glycosyl transferase, family 3	interpro	domain		PF00591	GO:0016757
IPR000313	PWWP domain	interpro	domain		PF00855,SM00293,PS50812	
IPR000315	B-box-type zinc finger	interpro	domain		PF00643,SM00336,PS50119,cd00021	GO:0008270
IPR000317	Peptidase C24, Calicivirus polyprotein Orf1	interpro	domain		PR00916,PF03510	GO:0004197,GO:0006508
IPR000320	Hedgehog, N-terminal signalling domain	interpro	domain		PF01085	GO:0007267
IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal	interpro	domain		PF01082	GO:0004497,GO:0005507,GO:0016715,GO:0055114
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase	interpro	domain		SM00014,PF01569	
IPR000327	POU-specific domain	interpro	domain		SM00352,PS00465,PS00035,PF00157,PS51179	GO:0003700,GO:0006355
IPR000328	Retroviral envelope protein GP41-like	interpro	domain		PF00517,cd09909	GO:0005198
IPR000330	SNF2-related, N-terminal domain	interpro	domain		PF00176	GO:0005524
IPR000331	Rap GTPase activating protein domain	interpro	domain		PF02145,PS50085	GO:0005096,GO:0051056
IPR000334	Glycoside hydrolase, family 45	interpro	domain		PF02015,PS01140	GO:0008810,GO:0005975
IPR000340	Dual specificity phosphatase, catalytic domain	interpro	domain		PF00782	GO:0008138,GO:0016311
IPR000341	Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain	interpro	domain		SM00144,PF00794,PS51546	
IPR000352	Peptide chain release factor class I	interpro	domain		PF00472,PS00745	GO:0003747,GO:0006415
IPR000353	MHC class II, beta chain, N-terminal	interpro	domain		PF00969,SM00921	GO:0006955,GO:0019882,GO:0016020,GO:0042613
IPR000361	FeS cluster biogenesis	interpro	domain		PF01521	
IPR000368	Sucrose synthase	interpro	domain		PF00862	GO:0016157,GO:0005985
IPR000372	Leucine-rich repeat N-terminal domain	interpro	domain		SM00013,PF01462	
IPR000375	Dynamin central domain	interpro	domain		PF01031	GO:0005525
IPR000382	Peptidase S39B, luteovirus	interpro	domain		PF02122	GO:0004252,GO:0016032,GO:0016021
IPR000383	Xaa-Pro dipeptidyl-peptidase-like domain	interpro	domain		PF02129	GO:0016787
IPR000387	Tyrosine specific protein phosphatases domain	interpro	domain		PS50056	GO:0016791,GO:0016311
IPR000395	Botulinum/Tetanus toxin, catalytic chain	interpro	domain		PF01742,PR00760	GO:0004222,GO:0008270,GO:0006508,GO:0046929
IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain	interpro	domain		SM00146,PF00454,PS50290	
IPR000404	Flavivirus non-structural protein NS4A	interpro	domain		PF01350	GO:0016032,GO:0016070,GO:0019012
IPR000409	BEACH domain	interpro	domain		PF02138,PS50197,SM01026,cd06071	
IPR000416	Haemagglutinin outer capsid protein VP4, concanavalin-like domain	interpro	domain		PF00426	GO:0019058,GO:0019028
IPR000418	Ets domain	interpro	domain		PR00454,PF00178,SM00413,PS00345,PS00346,PS50061	GO:0003700,GO:0043565,GO:0006355
IPR000421	Coagulation factor 5/8 C-terminal domain	interpro	domain		PF00754,SM00231,cd00057,PS01285,PS01286,PS50022	
IPR000426	Proteasome alpha-subunit, N-terminal domain	interpro	domain		PF10584,SM00948,PS00388	GO:0006511,GO:0019773
IPR000427	Papillomavirus E2, C-terminal	interpro	domain		PF00511	GO:0003677,GO:0003700,GO:0006275,GO:0006355,GO:0042025
IPR000432	DNA mismatch repair protein MutS, C-terminal	interpro	domain		SM00534,PF00488,PS00486	GO:0005524,GO:0030983,GO:0006298
IPR000433	Zinc finger, ZZ-type	interpro	domain		SM00291,PF00569,PS01357,PS50135	GO:0008270
IPR000436	Sushi/SCR/CCP domain	interpro	domain		PF00084,SM00032,cd00033,PS50923	
IPR000448	Rhabdovirus nucleocapsid	interpro	domain		PF00945	
IPR000463	Cytosolic fatty-acid binding	interpro	domain		PR00178,PS00214	GO:0008289
IPR000467	G-patch domain	interpro	domain		SM00443,PF01585,PS50174	GO:0003676
IPR000468	Barstar (barnase inhibitor)	interpro	domain		PF01337	
IPR000472	Activin types I and II receptor domain	interpro	domain		PF01064	GO:0004675,GO:0016020
IPR000477	Reverse transcriptase domain	interpro	domain		PF00078,PS50878	
IPR000483	Cysteine-rich flanking region, C-terminal	interpro	domain		SM00082,PF01463	
IPR000485	AsnC-type HTH domain	interpro	domain		PR00033,PS50956,PF13404	GO:0043565
IPR000487	Flavivirus non-structural protein NS2B	interpro	domain		PF01002,PS51527	GO:0004252,GO:0019012
IPR000488	Death domain	interpro	domain		PF00531,SM00005,PS50017	GO:0005515,GO:0007165
IPR000489	Pterin-binding domain	interpro	domain		PF00809,PS00792,PS00793,PS50972	GO:0042558
IPR000494	Receptor L-domain	interpro	domain		PF01030	
IPR000498	Outer membrane protein OmpA-like, transmembrane domain	interpro	domain		PF01389	GO:0009279,GO:0016021
IPR000504	RNA recognition motif domain	interpro	domain		SM00360,PF00076,PF16367,PS50102	GO:0003676
IPR000506	Ketol-acid reductoisomerase, C-terminal	interpro	domain		PS51851,PF01450	GO:0004455,GO:0009082,GO:0055114
IPR000510	Nitrogenase/oxidoreductase, component 1	interpro	domain		PF00148	GO:0016491,GO:0055114
IPR000515	ABC transporter type 1, transmembrane domain MetI-like	interpro	domain		PF00528,cd06261,PS50928	GO:0055085,GO:0016020
IPR000519	P-type trefoil domain	interpro	domain		SM00018,PF00088,PS51448,cd00111	
IPR000523	Magnesium chelatase ChlI domain	interpro	domain		PF01078	
IPR000524	Transcription regulator HTH, GntR	interpro	domain		PR00035,SM00345,PF00392,PS50949,cd07377	GO:0003700,GO:0006355
IPR000525	Initiator Rep protein	interpro	domain		PF01051	GO:0003887,GO:0006270
IPR000531	TonB-dependent receptor-like, beta-barrel	interpro	domain		PF00593	
IPR000532	Glucagon/GIP/secretin/VIP	interpro	domain		PR00275,SM00070,PF00123,PS00260	GO:0005179,GO:0005576
IPR000534	Semialdehyde dehydrogenase, NAD-binding	interpro	domain		PF01118,SM00859	GO:0016620,GO:0051287,GO:0055114
IPR000535	Major sperm protein (MSP) domain	interpro	domain		PF00635,PS50202	
IPR000536	Nuclear hormone receptor, ligand-binding domain	interpro	domain		PS51843,SM00430,PF00104	
IPR000538	Link domain	interpro	domain		PR01265,SM00445,PF00193,PS50963,PS01241	GO:0005540,GO:0007155
IPR000539	Frizzled/Smoothened, transmembrane domain	interpro	domain		PR00489,PF01534,SM01330	GO:0007166,GO:0016020
IPR000550	7,8-Dihydro-6-hydroxymethylpterin-pyrophosphokinase, HPPK	interpro	domain		PF01288,TIGR01498,PS00794,cd00483	GO:0003848,GO:0009396
IPR000551	MerR-type HTH domain	interpro	domain		PF00376,PF13411,PR00040,SM00422,PS00552,PS50937	GO:0003677,GO:0006355
IPR000555	JAB1/MPN/MOV34 metalloenzyme domain	interpro	domain		SM00232,PF01398	GO:0005515,GO:0008237,GO:0070122
IPR000562	Fibronectin type II domain	interpro	domain		PF00040,SM00059,PS00023,PS51092,cd00062	
IPR000566	Lipocalin/cytosolic fatty-acid binding domain	interpro	domain		PF08212,PF00061	
IPR000569	HECT domain	interpro	domain		SM00119,PF00632,PS50237,cd00078	GO:0004842
IPR000571	Zinc finger, CCCH-type	interpro	domain		SM00356,PF00642,PS50103	GO:0046872
IPR000572	Oxidoreductase, molybdopterin-binding domain	interpro	domain		PF00174	
IPR000573	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain	interpro	domain		PF00694	
IPR000574	Tymovirus coat protein	interpro	domain		PF00983	GO:0005198,GO:0019028
IPR000582	Acyl-CoA-binding protein, ACBP	interpro	domain		PF00887,PR00689,PS51228,cd00435	GO:0000062
IPR000585	Hemopexin-like domain	interpro	domain		cd00094	
IPR000587	Creatinase, N-terminal	interpro	domain		PF01321	GO:0016787
IPR000588	Peptidase A3A, cauliflower mosaic virus-type	interpro	domain		PF02160,PR00731	GO:0004190,GO:0006508
IPR000591	DEP domain	interpro	domain		SM00049,PF00610,PS50186	GO:0035556
IPR000593	RasGAP protein, C-terminal	interpro	domain		PF03836	GO:0005515
IPR000594	THIF-type NAD/FAD binding fold	interpro	domain		PF00899	GO:0008641
IPR000595	Cyclic nucleotide-binding domain	interpro	domain		PF00027,SM00100,PS50042,cd00038	
IPR000601	PKD domain	interpro	domain		PF00801,PS50093	
IPR000602	Glycoside hydrolase family 38, N-terminal domain	interpro	domain		PF01074	GO:0004559,GO:0006013
IPR000605	Helicase, superfamily 3, single-stranded DNA/RNA virus	interpro	domain		PF00910	GO:0003723,GO:0003724
IPR000608	Ubiquitin-conjugating enzyme E2	interpro	domain		PF00179,PS50127,cd00195	
IPR000620	EamA domain	interpro	domain		PF00892	GO:0016020,GO:0016021
IPR000626	Ubiquitin-like domain	interpro	domain		SM00213,PF00240,PF14560,PS50053	GO:0005515
IPR000627	Intradiol ring-cleavage dioxygenase, C-terminal	interpro	domain		PF00775,PS00083	GO:0003824,GO:0008199,GO:0006725,GO:0055114
IPR000640	Elongation factor EFG, domain V-like	interpro	domain		PF00679,SM00838	
IPR000642	Peptidase M41	interpro	domain		PF01434	GO:0004222,GO:0005524,GO:0006508
IPR000644	CBS domain	interpro	domain		SM00116,PF00571,PS51371	
IPR000651	Ras-like guanine nucleotide exchange factor, N-terminal	interpro	domain		SM00229,PF00618,PS50212,cd06224	
IPR000668	Peptidase C1A, papain C-terminal	interpro	domain		PF00112,PR00705,SM00645	GO:0008234,GO:0006508
IPR000673	Signal transduction response regulator, chemotaxis, protein-glutamate methylesterase	interpro	domain		PF01339,PS50122,cd16432	GO:0000156,GO:0008984,GO:0000160,GO:0006935,GO:0005737
IPR000674	Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead	interpro	domain		PF01315,SM01008	
IPR000679	Zinc finger, GATA-type	interpro	domain		SM00401,PR00619,PF00320,PS00344,PS50114,cd00202	GO:0008270,GO:0043565,GO:0006355
IPR000683	Oxidoreductase, N-terminal	interpro	domain		PF01408	GO:0016491
IPR000685	Ribulose bisphosphate carboxylase, large subunit, C-terminal	interpro	domain		PF00016	GO:0000287
IPR000687	RIO kinase	interpro	domain		SM00090	GO:0004674,GO:0005524
IPR000690	Matrin/U1-C, C2H2-type zinc finger	interpro	domain		PS50171	GO:0003676,GO:0008270,GO:0005634
IPR000697	WH1/EVH1 domain	interpro	domain		SM00461,PF00568,PS50229	
IPR000699	RIH domain	interpro	domain		PF01365	GO:0005262,GO:0070588,GO:0016020
IPR000700	PAS-associated, C-terminal	interpro	domain		PS50113	
IPR000713	Mur ligase, N-terminal catalytic domain	interpro	domain		PF01225	GO:0005524,GO:0009058
IPR000716	Thyroglobulin type-1	interpro	domain		SM00211,PF00086,PS00484,PS51162,cd00191	
IPR000717	Proteasome component (PCI) domain	interpro	domain		SM00088,PF01399,PS50250	
IPR000719	Protein kinase domain	interpro	domain		SM00220,PF00069,PS50011	GO:0004672,GO:0005524,GO:0006468
IPR000722	RNA polymerase, alpha subunit	interpro	domain		PF00623	GO:0003677,GO:0003899,GO:0006351
IPR000724	IgG-binding B	interpro	domain		PF01378	GO:0005618
IPR000726	Glycoside hydrolase, family 19, catalytic	interpro	domain		PF00182,PS00773,PS00774	GO:0004568,GO:0006032,GO:0016998
IPR000727	Target SNARE coiled-coil homology domain	interpro	domain		SM00397,PF05739,PS50192	
IPR000731	Sterol-sensing domain	interpro	domain		PS50156,PF12349	
IPR000738	WHEP-TRS domain	interpro	domain		PF00458,PS00762,PS51185,SM00991	GO:0004812,GO:0005524,GO:0006418
IPR000742	EGF-like domain	interpro	domain		SM00181,PS50026,PS01186,PS00022,PF00008	
IPR000745	Hepatitis C virus non-structural protein NS4a	interpro	domain		PF01006	GO:0016032,GO:0019012
IPR000747	Homeobox domain engrailed	interpro	domain		PR00026	GO:0003677,GO:0007275,GO:0005634
IPR000752	Flavivirus non-structural protein NS2A	interpro	domain		PF01005	GO:0003725
IPR000756	Diacylglycerol kinase, accessory domain	interpro	domain		SM00045,PF00609	GO:0004143,GO:0007205
IPR000757	Glycoside hydrolase family 16	interpro	domain		PF00722,PS51762	GO:0004553,GO:0005975
IPR000770	SAND domain	interpro	domain		SM00258,PF01342,PS50864	GO:0003677
IPR000772	Ricin B, lectin domain	interpro	domain		PF00652,PF14200,SM00458,cd00161,PS50231	
IPR000774	Peptidyl-prolyl cis-trans isomerase, FKBP-type, N-terminal	interpro	domain		PF01346	GO:0006457
IPR000777	Human immunodeficiency virus 1, envelope glycoprotein Gp120	interpro	domain		PF00516	GO:0019031
IPR000780	MCP methyltransferase, CheR-type	interpro	domain		PR00996,SM00138,PS50123	GO:0008757
IPR000782	FAS1 domain	interpro	domain		PF02469,SM00554,PS50213	
IPR000783	RNA polymerase, subunit H/Rpb5 C-terminal	interpro	domain		PF01191	GO:0003677,GO:0003899,GO:0006351
IPR000788	Ribonucleotide reductase large subunit, C-terminal	interpro	domain		PR01183,PF02867,PS00089	GO:0006260,GO:0055114
IPR000792	Transcription regulator LuxR, C-terminal	interpro	domain		PR00038,PF00196,SM00421,cd06170,PS00622,PS50043	GO:0006355
IPR000793	ATP synthase, alpha subunit, C-terminal	interpro	domain		PF00306	GO:0015986
IPR000795	Transcription factor, GTP-binding domain	interpro	domain		PR00315,PF00009,PS51722	GO:0003924,GO:0005525
IPR000800	Notch domain	interpro	domain		SM00004,PF00066,PS50258,PR01452	
IPR000818	TEA/ATTS domain	interpro	domain		PF01285,PR00065,SM00426,PS00554,PS51088	GO:0003700,GO:0006355
IPR000819	Peptidase M17, leucyl aminopeptidase, C-terminal	interpro	domain		PF00883,PS00631	GO:0004177,GO:0006508
IPR000834	Peptidase M14, carboxypeptidase A	interpro	domain		PR00765,SM00631,PF00246,PS00132,PS00133	GO:0004181,GO:0008270,GO:0006508
IPR000835	MarR-type HTH domain	interpro	domain		SM00347,PR00598,PF01047,PF13463,PF12802,PS50995	GO:0003700,GO:0006355
IPR000836	Phosphoribosyltransferase domain	interpro	domain		PF00156,cd06223	GO:0009116
IPR000840	Gamma-retroviral matrix protein	interpro	domain		PF01140	
IPR000843	LacI-type HTH domain	interpro	domain		PF00356,PR00036,SM00354,PS50932,cd01392	GO:0003677,GO:0006355
IPR000845	Nucleoside phosphorylase domain	interpro	domain		PF01048	GO:0003824,GO:0009116
IPR000846	Dihydrodipicolinate reductase, N-terminal	interpro	domain		PF01113	GO:0008839,GO:0009089,GO:0055114
IPR000847	Transcription regulator HTH, LysR	interpro	domain		PR00039,PF00126,PS50931	GO:0003700,GO:0006355
IPR000848	GPCR, cAMP-type	interpro	domain		PR00247	GO:0004930,GO:0030552,GO:0007186,GO:0016021
IPR000857	MyTH4 domain	interpro	domain		SM00139,PF00784,PS51016	GO:0005856
IPR000858	S-locus glycoprotein domain	interpro	domain		PF00954	GO:0048544
IPR000859	CUB domain	interpro	domain		PF00431,SM00042,PS01180,cd00041	
IPR000863	Sulfotransferase domain	interpro	domain		PF00685	GO:0008146
IPR000866	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	interpro	domain		PF00578	GO:0016209,GO:0016491,GO:0055114
IPR000867	Insulin-like growth factor-binding protein, IGFBP	interpro	domain		SM00121,PF00219,PS51323	GO:0005520,GO:0005576
IPR000868	Isochorismatase-like	interpro	domain		PF00857	GO:0003824
IPR000873	AMP-dependent synthetase/ligase	interpro	domain		PF00501	GO:0003824
IPR000877	Proteinase inhibitor I12, Bowman-Birk	interpro	domain		SM00269,PF00228,PS00281,cd00023	GO:0004867,GO:0005576
IPR000878	Tetrapyrrole methylase	interpro	domain		PF00590	GO:0008168
IPR000885	Fibrillar collagen, C-terminal	interpro	domain		SM00038,PF01410,PS51461	GO:0005201
IPR000891	Pyruvate carboxyltransferase	interpro	domain		PF00682,PS50991	GO:0003824
IPR000894	Ribulose bisphosphate carboxylase small chain, domain	interpro	domain		PF00101,SM00961	
IPR000896	Hemocyanin/hexamerin middle domain	interpro	domain		PF00372	
IPR000897	Signal recognition particle, SRP54 subunit, GTPase domain	interpro	domain		PF00448,SM00962,PS00300	GO:0005525,GO:0006614
IPR000904	Sec7 domain	interpro	domain		SM00222,PF01369,PS50190,cd00171	GO:0005086,GO:0032012
IPR000905	Gcp-like domain	interpro	domain		PTHR11735,PF00814	
IPR000906	ZU5 domain	interpro	domain		PF00791,SM00218,PS51145	
IPR000909	Phosphatidylinositol-specific phospholipase C, X domain	interpro	domain		SM00148,PF00388	
IPR000914	Solute-binding protein family 5 domain	interpro	domain		PF00496	
IPR000916	Bet v I/Major latex protein	interpro	domain		PF00407,SM01037	GO:0006952
IPR000917	Sulfatase, N-terminal	interpro	domain		PF00884	GO:0008484
IPR000922	D-galactoside/L-rhamnose binding SUEL lectin domain	interpro	domain		PF02140,PS50228	GO:0030246
IPR000923	Blue (type 1) copper domain	interpro	domain		PF00127	GO:0005507,GO:0009055
IPR000928	SNAP-25 domain	interpro	domain		PF00835	
IPR000930	Peptidase S3, togavirin	interpro	domain		PR00798,PF00944,PS51690	GO:0004252,GO:0006508
IPR000937	Icosahedral viral capsid protein, S domain	interpro	domain		PR00233,PF00729,PS00555	GO:0005198,GO:0019028
IPR000938	CAP Gly-rich domain	interpro	domain		PF01302,PS00845,PS50245,SM01052	
IPR000943	RNA polymerase sigma-70	interpro	domain		PR00046,PIRSF000770,PS00715,PS00716	GO:0003700,GO:0006352,GO:0006355
IPR000949	ELM2 domain	interpro	domain		PF01448,PS51156,SM01189	
IPR000953	Chromo/chromo shadow domain	interpro	domain		SM00298,PS50013	
IPR000959	POLO box domain	interpro	domain		PF00659,PS50078	GO:0005515
IPR000961	AGC-kinase, C-terminal	interpro	domain		SM00133,PS51285	GO:0004674,GO:0005524,GO:0006468
IPR000962	Zinc finger, DksA/TraR C4-type	interpro	domain		PF01258,PS51128	GO:0008270
IPR000965	GPR domain	interpro	domain		TIGR00407,MF_00412,cd07079	GO:0004350,GO:0006561,GO:0055114
IPR000967	Zinc finger, NF-X1-type	interpro	domain		SM00438,PF01422	GO:0003700,GO:0008270,GO:0006355,GO:0005634
IPR000971	Globin	interpro	domain		PF00042,PS01033	GO:0020037
IPR000976	Wilm's tumour protein, N-terminal	interpro	domain		PF02165	GO:0006355,GO:0005634
IPR000978	Adenoviral fibre protein, knob	interpro	domain		PF00541	GO:0019062,GO:0019028
IPR000980	SH2 domain	interpro	domain		PR00401,PF00017,SM00252,PS50001	
IPR000994	Peptidase M24	interpro	domain		PF00557	
IPR000998	MAM domain	interpro	domain		PR00020,PF00629,SM00137,PS00740,PS50060,cd06263	GO:0016020
IPR000999	Ribonuclease III domain	interpro	domain		PF00636,PF14622,SM00535,PS00517,PS50142,cd00593	GO:0004525,GO:0006396
IPR001000	Glycoside hydrolase family 10 domain	interpro	domain		PF00331,PR00134,PS51760,SM00633	GO:0004553,GO:0005975
IPR001002	Chitin-binding, type 1	interpro	domain		PR00451,SM00270,PF00187,PS50941	GO:0008061
IPR001003	MHC class II, alpha chain, N-terminal	interpro	domain		PF00993,SM00920	GO:0006955,GO:0019882,GO:0016020,GO:0042613
IPR001005	SANT/Myb domain	interpro	domain		SM00717,PF00249,cd00167	
IPR001007	VWFC domain	interpro	domain		SM00214,SM00215,PF00093,PS50184,PS01208	GO:0005515
IPR001012	UBX domain	interpro	domain		PF00789,SM00166,PS50033	GO:0005515
IPR001017	Dehydrogenase, E1 component	interpro	domain		PF00676	GO:0016624
IPR001024	PLAT/LH2 domain	interpro	domain		SM00308,PF01477,PS50095	GO:0005515
IPR001025	Bromo adjacent homology (BAH) domain	interpro	domain		SM00439,PF01426,PS51038	GO:0003682
