Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR008949	Isoprenoid synthase domain superfamily	interpro	homologous_superfamily		G3DSA:1.10.600.10,SSF48576	
IPR008952	Tetraspanin, EC2 domain superfamily	interpro	homologous_superfamily		SSF48652,G3DSA:1.10.1450.10	GO:0016021
IPR008953	Iron hydrogenase, small subunit HydB-type	interpro	homologous_superfamily		SSF48674	GO:0005506,GO:0008901,GO:0009055,GO:0051536,GO:0042597
IPR008954	Moesin tail domain superfamily	interpro	homologous_superfamily		SSF48678,G3DSA:1.25.40.1020	GO:0003779
IPR008956	Protease A inhibitor IA3 domain superfamily	interpro	homologous_superfamily		SSF48686	
IPR008962	PapD-like superfamily	interpro	homologous_superfamily		SSF49354	
IPR008963	Purple acid phosphatase-like, N-terminal	interpro	homologous_superfamily		SSF49363,G3DSA:2.60.40.380	GO:0003993,GO:0046872
IPR008964	Invasin/intimin cell-adhesion fragments	interpro	homologous_superfamily		SSF49373	
IPR008965	CBM2/CBM3, carbohydrate-binding domain superfamily	interpro	homologous_superfamily		SSF49384	GO:0030246
IPR008966	Adhesion domain superfamily	interpro	homologous_superfamily		SSF49401	
IPR008967	p53-like transcription factor, DNA-binding	interpro	homologous_superfamily		SSF49417	GO:0003700,GO:0006355
IPR008969	Carboxypeptidase-like, regulatory domain superfamily	interpro	homologous_superfamily		SSF49464	
IPR008971	HSP40/DnaJ peptide-binding	interpro	homologous_superfamily		SSF49493	GO:0051082,GO:0006457
IPR008972	Cupredoxin	interpro	homologous_superfamily		G3DSA:2.60.40.420,SSF49503	
IPR008974	TRAF-like	interpro	homologous_superfamily		SSF49599,G3DSA:2.60.210.10	GO:0005515
IPR008977	PHM/PNGase F domain superfamily	interpro	homologous_superfamily		SSF49742	GO:0003824
IPR008978	HSP20-like chaperone	interpro	homologous_superfamily		SSF49764,G3DSA:2.60.40.790	
IPR008979	Galactose-binding-like domain superfamily	interpro	homologous_superfamily		G3DSA:2.60.120.260,SSF49785	
IPR008980	Viral capsid/haemagglutinin protein	interpro	homologous_superfamily		SSF49818	GO:0046789,GO:0019064,GO:0019031
IPR008981	F-MuLV receptor-binding	interpro	homologous_superfamily		SSF49830,G3DSA:3.90.310.10	
IPR008982	Adenovirus pIV-like, attachment domain	interpro	homologous_superfamily		SSF49835,G3DSA:2.60.90.10	GO:0007155,GO:0019058,GO:0019062
IPR008983	Tumour necrosis factor-like domain superfamily	interpro	homologous_superfamily		SSF49842,G3DSA:2.60.120.40	GO:0005515
IPR008984	SMAD/FHA domain superfamily	interpro	homologous_superfamily		SSF49879	GO:0005515
IPR008988	Transcriptional repressor, C-terminal	interpro	homologous_superfamily		SSF50037	
IPR008989	Myosin S1 fragment, N-terminal	interpro	homologous_superfamily		SSF50084,G3DSA:2.30.30.360	GO:0003774,GO:0005524,GO:0051015
IPR008990	Electron transport accessory-like domain superfamily	interpro	homologous_superfamily		SSF50090	
IPR008991	Translation protein SH3-like domain superfamily	interpro	homologous_superfamily		SSF50104	
IPR008992	Enterotoxin	interpro	homologous_superfamily		SSF50203	GO:0009405
IPR008993	Tissue inhibitor of metalloproteinases-like, OB-fold	interpro	homologous_superfamily		SSF50242,G3DSA:2.40.50.120	
IPR008995	Molybdate/tungstate binding, C-terminal	interpro	homologous_superfamily		SSF50331	
IPR008996	Cytokine IL1/FGF	interpro	homologous_superfamily		SSF50353	
IPR008999	Actin-crosslinking	interpro	homologous_superfamily		SSF50405	
IPR009000	Translation protein, beta-barrel domain superfamily	interpro	homologous_superfamily		SSF50447	
IPR009001	Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal	interpro	homologous_superfamily		SSF50465	
IPR009003	Peptidase S1, PA clan	interpro	homologous_superfamily		SSF50494	
IPR009004	Transposase, Mu, C-terminal	interpro	homologous_superfamily		G3DSA:2.30.30.130,SSF50610	
IPR009006	Alanine racemase/group IV decarboxylase, C-terminal	interpro	homologous_superfamily		G3DSA:2.40.37.10,SSF50621	GO:0003824
IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain	interpro	homologous_superfamily		G3DSA:3.90.740.10,SSF50677	GO:0002161,GO:0006418
IPR009010	Aspartate decarboxylase-like domain superfamily	interpro	homologous_superfamily		SSF50692	
IPR009011	Mannose-6-phosphate receptor binding domain superfamily	interpro	homologous_superfamily		G3DSA:2.70.130.10	
IPR009012	GrpE nucleotide exchange factor, head	interpro	homologous_superfamily		G3DSA:2.30.22.10,SSF51064	GO:0006457
IPR009013	Attachment protein shaft domain superfamily	interpro	homologous_superfamily		SSF51225	GO:0019062
IPR009014	Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II	interpro	homologous_superfamily		SSF52922,G3DSA:3.40.50.920	GO:0003824
IPR009015	L-fucose isomerase, N-terminal/central domain superfamily	interpro	homologous_superfamily		SSF53743	GO:0016861,GO:0005996,GO:0005737
IPR009016	Iron hydrogenase	interpro	homologous_superfamily		SSF53920	
IPR009017	Green fluorescent protein	interpro	homologous_superfamily		SSF54511	
IPR009018	Signal recognition particle, SRP9/SRP14 subunit	interpro	homologous_superfamily		SSF54762,G3DSA:3.30.720.10	GO:0008312,GO:0006614,GO:0048500
IPR009019	K homology domain superfamily, prokaryotic type	interpro	homologous_superfamily		SSF54814	GO:0003723
IPR009023	Hydroxymethylglutaryl-CoA reductase, class I/II, NAD/NADP-binding domain superfamily	interpro	homologous_superfamily		G3DSA:3.30.70.420,SSF55035	
IPR009024	Methyl-coenzyme M reductase, ferredoxin-like fold	interpro	homologous_superfamily		SSF55088	GO:0050524,GO:0015948
IPR009027	Ribosomal protein L9/RNase H1, N-terminal	interpro	homologous_superfamily		SSF55658	
IPR009028	Coatomer/calthrin adaptor appendage, C-terminal subdomain	interpro	homologous_superfamily		SSF55711	GO:0006886,GO:0016192,GO:0030117
IPR009029	Hydroxymethylglutaryl-CoA reductase, class I/II, substrate-binding domain superfamily	interpro	homologous_superfamily		SSF56542	GO:0016616,GO:0015936,GO:0055114
IPR009030	Growth factor receptor cysteine-rich domain superfamily	interpro	homologous_superfamily		SSF57184	
IPR009032	Vpu protein cytoplasmic domain superfamily	interpro	homologous_superfamily		SSF57647,G3DSA:1.10.195.10	GO:0042609
IPR009033	Calreticulin/calnexin, P domain superfamily	interpro	homologous_superfamily		SSF63887,G3DSA:2.10.250.10	GO:0005509,GO:0005515
IPR009034	Fungal dockerin domain superfamily	interpro	homologous_superfamily		SSF64571,G3DSA:3.90.1220.10	
IPR009044	ssDNA-binding transcriptional regulator	interpro	homologous_superfamily		G3DSA:2.30.31.10,SSF54447	GO:0003677,GO:0006355
IPR009045	Hedgehog signalling/DD-peptidase zinc-binding domain superfamily	interpro	homologous_superfamily		SSF55166,G3DSA:3.30.1380.10	
IPR009050	Globin-like superfamily	interpro	homologous_superfamily		SSF46458	
IPR009051	Alpha-helical ferredoxin	interpro	homologous_superfamily		G3DSA:1.10.1060.10,SSF46548	GO:0051536
IPR009053	Prefoldin	interpro	homologous_superfamily		G3DSA:1.10.287.370	
IPR009057	Homeobox-like domain superfamily	interpro	homologous_superfamily		SSF46689	
IPR009060	UBA-like superfamily	interpro	homologous_superfamily		SSF46934	GO:0005515
IPR009061	Putative DNA-binding domain superfamily	interpro	homologous_superfamily		SSF46955	
IPR009062	Smac/DIABLO-like superfamily	interpro	homologous_superfamily		SSF46984	GO:0006915,GO:0006919,GO:0005739
IPR009063	Immunoglobulin/albumin-binding domain superfamily	interpro	homologous_superfamily		SSF46997	GO:0009405
IPR009068	S15/NS1, RNA-binding	interpro	homologous_superfamily		SSF47060	
IPR009069	Cysteine alpha-hairpin motif superfamily	interpro	homologous_superfamily		SSF47072	
IPR009072	Histone-fold	interpro	homologous_superfamily		G3DSA:1.10.20.10,SSF47113	GO:0046982
IPR009078	Ferritin-like superfamily	interpro	homologous_superfamily		SSF47240	
IPR009079	Four-helical cytokine-like, core	interpro	homologous_superfamily		SSF47266	
IPR009080	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	interpro	homologous_superfamily		SSF47323	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR009083	Transcription factor IIA, helical	interpro	homologous_superfamily		G3DSA:1.10.287.190	GO:0006367,GO:0005672
IPR009086	Bacteriocin AS-48	interpro	homologous_superfamily		G3DSA:1.20.225.10	
IPR009088	Transcription factor IIA, beta-barrel	interpro	homologous_superfamily		SSF50784,G3DSA:2.30.18.10	GO:0006367,GO:0005672
IPR009089	XRCC4, N-terminal domain superfamily	interpro	homologous_superfamily		SSF50809	GO:0003677,GO:0006302,GO:0006310,GO:0005634
IPR009091	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II	interpro	homologous_superfamily		SSF50985,G3DSA:2.130.10.30	
IPR009094	Disulphide bond isomerase DsbC/G, N-terminal domain superfamily	interpro	homologous_superfamily		G3DSA:3.10.450.70,SSF54423	GO:0042597
IPR009096	Killer toxin KP6, alpha subunit	interpro	homologous_superfamily		SSF55056,G3DSA:3.30.70.440	
IPR009097	Cyclic phosphodiesterase	interpro	homologous_superfamily		SSF55144	
IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily	interpro	homologous_superfamily		SSF56645	GO:0016627,GO:0055114
IPR009101	Gurmarin/antifungal peptide	interpro	homologous_superfamily		SSF57048	
IPR009107	Protein-L-isoaspartyl O-methyltransferase, C-terminal	interpro	homologous_superfamily		G3DSA:3.55.20.10,SSF68930	
IPR009110	Nuclear receptor coactivator, interlocking	interpro	homologous_superfamily		SSF69125	
IPR010254	B12-dependent dehydratases, beta subunit	interpro	homologous_superfamily		SSF52968,G3DSA:3.40.50.10150	
IPR010255	Haem peroxidase superfamily	interpro	homologous_superfamily		SSF48113	GO:0004601,GO:0020037,GO:0006979,GO:0055114
IPR010919	SAND-like domain superfamily	interpro	homologous_superfamily		SSF63763,G3DSA:3.10.390.10	
IPR010920	LSM domain superfamily	interpro	homologous_superfamily		SSF50182	
IPR010921	Trp repressor/replication initiator	interpro	homologous_superfamily		G3DSA:1.10.1750.10,SSF48295	GO:0043565
IPR010978	Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm	interpro	homologous_superfamily		SSF46589	GO:0000166
IPR010979	Ribosomal protein S13-like, H2TH	interpro	homologous_superfamily		SSF46946	GO:0003676
IPR010980	Cytochrome c/b562	interpro	homologous_superfamily		SSF47175	GO:0005506,GO:0009055,GO:0020037,GO:0022900
IPR010982	Lambda repressor-like, DNA-binding domain superfamily	interpro	homologous_superfamily		G3DSA:1.10.260.40,SSF47413	GO:0003677
IPR010985	Ribbon-helix-helix	interpro	homologous_superfamily		SSF47598	GO:0006355
IPR010989	SNARE	interpro	homologous_superfamily		SSF47661	GO:0016192,GO:0016020
IPR010992	Integration host factor (IHF)-like DNA-binding domain superfamily	interpro	homologous_superfamily		SSF47729,G3DSA:4.10.520.10	GO:0003677
IPR010994	RuvA domain 2-like	interpro	homologous_superfamily		SSF47781	
IPR010995	DNA repair Rad51/transcription factor NusA, alpha-helical	interpro	homologous_superfamily		SSF47794	GO:0000166
IPR010997	HRDC-like superfamily	interpro	homologous_superfamily		SSF47819	GO:0000166,GO:0003824,GO:0044237
IPR010998	Integrase/recombinase, N-terminal	interpro	homologous_superfamily		G3DSA:1.10.150.130	
IPR010999	Retroviral matrix protein	interpro	homologous_superfamily		SSF47836	
IPR011001	Saposin-like	interpro	homologous_superfamily		SSF47862	
IPR011002	Flagellar motor switch protein FliG, alpha-helical	interpro	homologous_superfamily		SSF48029	
IPR011004	Trimeric LpxA-like superfamily	interpro	homologous_superfamily		SSF51161	
IPR011005	Dihydropteroate synthase-like	interpro	homologous_superfamily		SSF51717,G3DSA:3.20.20.20	GO:0044237
IPR011006	CheY-like superfamily	interpro	homologous_superfamily		SSF52172	
IPR011008	Dimeric alpha-beta barrel	interpro	homologous_superfamily		SSF54909	
IPR011009	Protein kinase-like domain superfamily	interpro	homologous_superfamily		SSF56112	
IPR011010	DNA breaking-rejoining enzyme, catalytic core	interpro	homologous_superfamily		SSF56349	GO:0003677
IPR011011	Zinc finger, FYVE/PHD-type	interpro	homologous_superfamily		SSF57903	
IPR011012	Longin-like domain superfamily	interpro	homologous_superfamily		SSF64356	
IPR011013	Galactose mutarotase-like domain superfamily	interpro	homologous_superfamily		SSF74650	GO:0003824,GO:0030246,GO:0005975
IPR011014	Mechanosensitive ion channel MscS, transmembrane-2	interpro	homologous_superfamily		SSF82861	GO:0016020
IPR011015	LEM/LEM-like domain superfamily	interpro	homologous_superfamily		G3DSA:1.10.720.40,SSF63451	
IPR011024	Gamma-crystallin-like	interpro	homologous_superfamily		SSF49695	
IPR011025	G protein alpha subunit, helical insertion	interpro	homologous_superfamily		G3DSA:1.10.400.10,SSF47895	GO:0007165
IPR011026	Wiscott-Aldrich syndrome protein, C-terminal	interpro	homologous_superfamily		SSF47912	GO:0007015
IPR011029	Death-like domain superfamily	interpro	homologous_superfamily		SSF47986	
IPR011030	Lipovitellin-phosvitin complex, superhelical domain	interpro	homologous_superfamily		G3DSA:1.25.10.20,SSF48431	
IPR011032	GroES-like superfamily	interpro	homologous_superfamily		SSF50129	
IPR011033	PRC-barrel-like superfamily	interpro	homologous_superfamily		SSF50346	
IPR011034	Formyl transferase-like, C-terminal domain superfamily	interpro	homologous_superfamily		SSF50486	GO:0003824
IPR011035	Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain superfamily	interpro	homologous_superfamily		SSF50715	GO:0006412
IPR011037	Pyruvate kinase-like, insert domain superfamily	interpro	homologous_superfamily		SSF50800	
IPR011039	Transcription Factor IIF, Rap30/Rap74, interaction	interpro	homologous_superfamily		SSF50916	GO:0006367
IPR011041	Soluble quinoprotein glucose/sorbosone dehydrogenase	interpro	homologous_superfamily		SSF50952	GO:0003824
IPR011042	Six-bladed beta-propeller, TolB-like	interpro	homologous_superfamily		G3DSA:2.120.10.30	
IPR011043	Galactose oxidase/kelch, beta-propeller	interpro	homologous_superfamily		SSF50965	
IPR011044	Quinoprotein amine dehydrogenase, beta chain-like	interpro	homologous_superfamily		SSF50969	
IPR011045	Nitrous oxide reductase, N-terminal	interpro	homologous_superfamily		SSF50974	
IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily	interpro	homologous_superfamily		SSF50998	
IPR011048	Cytochrome cd1-nitrite reductase-like, haem d1 domain superfamily	interpro	homologous_superfamily		SSF51004	
IPR011049	Serralysin-like metalloprotease, C-terminal	interpro	homologous_superfamily		SSF51120,G3DSA:2.150.10.10	
IPR011050	Pectin lyase fold/virulence factor	interpro	homologous_superfamily		SSF51126	
IPR011051	RmlC-like cupin domain superfamily	interpro	homologous_superfamily		SSF51182	
IPR011052	Proteinase/amylase inhibitor domain superfamily	interpro	homologous_superfamily		SSF57027	GO:0004866
IPR011053	Single hybrid motif	interpro	homologous_superfamily		SSF51230	
IPR011054	Rudiment single hybrid motif	interpro	homologous_superfamily		SSF51246	
IPR011055	Duplicated hybrid motif	interpro	homologous_superfamily		SSF51261,G3DSA:2.70.70.10	
IPR011057	Mss4-like superfamily	interpro	homologous_superfamily		SSF51316	
IPR011059	Metal-dependent hydrolase, composite domain superfamily	interpro	homologous_superfamily		G3DSA:2.30.40.10,SSF51338	GO:0016810
IPR011060	Ribulose-phosphate binding barrel	interpro	homologous_superfamily		SSF51366	GO:0003824
IPR011061	Hirudin/antistatin	interpro	homologous_superfamily		SSF57262	GO:0004857
IPR011064	Allophycocyanin linker chain	interpro	homologous_superfamily		SSF54580,G3DSA:3.30.1490.170	GO:0015979,GO:0030089
IPR011065	Kunitz inhibitor STI-like superfamily	interpro	homologous_superfamily		SSF50386	
IPR011066	Mechanosensitive ion channel MscS, C-terminal	interpro	homologous_superfamily		SSF82689	GO:0016020
IPR011067	Plasmid maintenance toxin/Cell growth inhibitor	interpro	homologous_superfamily		G3DSA:2.30.30.110	
IPR011068	Nucleotidyltransferase, class I-like, C-terminal	interpro	homologous_superfamily		SSF55003	GO:0003723,GO:0016779,GO:0031123
IPR011070	Globular protein, non-globular alpha/beta subunit	interpro	homologous_superfamily		SSF56568	
IPR011071	Polysaccharide lyase family 8-like, C-terminal	interpro	homologous_superfamily		G3DSA:2.60.220.10,SSF49863	GO:0005975
IPR011076	Malate synthase-like superfamily	interpro	homologous_superfamily		SSF51645	GO:0003824
IPR011145	Scavenger mRNA decapping enzyme, N-terminal	interpro	homologous_superfamily		G3DSA:3.30.200.40,SSF102860	GO:0016787,GO:0000290
IPR011162	MHC classes I/II-like antigen recognition protein	interpro	homologous_superfamily		SSF54452	
IPR011222	Double-stranded DNA virus, group I, capsid	interpro	homologous_superfamily		SSF88648	GO:0005198,GO:0019028
IPR011249	Metalloenzyme, LuxS/M16 peptidase-like	interpro	homologous_superfamily		SSF63411	GO:0003824,GO:0046872
IPR011250	Outer membrane protein/outer membrane enzyme PagP,  beta-barrel	interpro	homologous_superfamily		SSF56925	
IPR011252	Fibrogen-binding domain 1	interpro	homologous_superfamily		G3DSA:2.60.40.1280	GO:0007155
IPR011254	Prismane-like superfamily	interpro	homologous_superfamily		SSF56821	GO:0003824,GO:0016491,GO:0055114
IPR011256	Regulatory factor, effector binding domain superfamily	interpro	homologous_superfamily		SSF55136,G3DSA:3.20.80.10	
IPR011257	DNA glycosylase	interpro	homologous_superfamily		SSF48150	GO:0003824,GO:0006281
IPR011322	Nitrogen regulatory PII-like, alpha/beta	interpro	homologous_superfamily		SSF54913	
IPR011323	Mss4/translationally controlled tumour-associated TCTP	interpro	homologous_superfamily		G3DSA:2.170.150.10	
IPR011324	Cytotoxic necrotizing factor-like, catalytic	interpro	homologous_superfamily		SSF64438	
IPR011328	Salt-mediated killer toxin, alpha subunit	interpro	homologous_superfamily		G3DSA:4.10.420.10	
IPR011329	Killer toxin Kp4/SMK	interpro	homologous_superfamily		SSF55221	GO:0009405,GO:0005576
IPR011330	Glycoside hydrolase/deacetylase, beta/alpha-barrel	interpro	homologous_superfamily		SSF88713	GO:0003824,GO:0005975
IPR011331	Ribosomal protein L37ae/L37e	interpro	homologous_superfamily		G3DSA:2.20.25.30	GO:0003735,GO:0006412,GO:0005840
IPR011332	Zinc-binding ribosomal protein	interpro	homologous_superfamily		SSF57829	GO:0006412
IPR011333	SKP1/BTB/POZ domain superfamily	interpro	homologous_superfamily		SSF54695	
IPR011334	UDP-3-O-acyl N-acetylglucosamine deacetylase, C-terminal	interpro	homologous_superfamily		G3DSA:3.30.1700.10	GO:0008759,GO:0009245
IPR011335	Restriction endonuclease  type II-like	interpro	homologous_superfamily		SSF52980	
IPR011336	Restriction endonuclease, type II, EcoRI/MunI	interpro	homologous_superfamily		G3DSA:3.40.580.10	GO:0003677,GO:0009036,GO:0009307
IPR011338	Restriction endonuclease, type II, BamHI/BglIII/BstY	interpro	homologous_superfamily		G3DSA:3.40.91.20	GO:0000287,GO:0003677,GO:0009036,GO:0009307
IPR011578	T7 endonuclease I-like	interpro	homologous_superfamily		G3DSA:3.40.91.30	GO:0003677,GO:0004536
IPR011604	Exonuclease, phage-type/RecB, C-terminal	interpro	homologous_superfamily		G3DSA:3.90.320.10	
IPR011856	tRNA endonuclease-like domain superfamily	interpro	homologous_superfamily		G3DSA:3.40.1350.10	GO:0003676,GO:0004518
IPR011989	Armadillo-like helical	interpro	homologous_superfamily		G3DSA:1.25.10.10	
IPR011990	Tetratricopeptide-like helical domain superfamily	interpro	homologous_superfamily		G3DSA:1.25.40.10,SSF48452	GO:0005515
IPR011992	EF-hand domain pair	interpro	homologous_superfamily		SSF47473	
IPR011993	PH-like domain superfamily	interpro	homologous_superfamily		G3DSA:2.30.29.30	
IPR012291	CBM2, carbohydrate-binding domain superfamily	interpro	homologous_superfamily		G3DSA:2.60.40.290	GO:0004553,GO:0030247
IPR012292	Globin/Protoglobin	interpro	homologous_superfamily		G3DSA:1.10.490.10	GO:0019825,GO:0020037
IPR012293	RNA polymerase subunit, RPB6/omega	interpro	homologous_superfamily		G3DSA:3.90.940.10	GO:0003677,GO:0003899,GO:0006351
IPR012295	TBP domain superfamily	interpro	homologous_superfamily		G3DSA:3.30.310.10	
IPR012297	Restriction endonuclease EcoO109IR, catalytic domain superfamily	interpro	homologous_superfamily		G3DSA:3.40.1560.10	
IPR012331	Clathrin, heavy chain, linker	interpro	homologous_superfamily		G3DSA:1.25.40.30	
IPR012332	P22 tailspike-like, C-terminal domain superfamily	interpro	homologous_superfamily		G3DSA:2.160.20.20	
IPR012334	Pectin lyase fold	interpro	homologous_superfamily		G3DSA:2.160.20.10	
IPR012337	Ribonuclease H-like superfamily	interpro	homologous_superfamily		SSF53098	
IPR012338	Beta-lactamase/transpeptidase-like	interpro	homologous_superfamily		G3DSA:3.40.710.10,SSF56601	
IPR012340	Nucleic acid-binding, OB-fold	interpro	homologous_superfamily		SSF50249	
IPR012341	Six-hairpin glycosidase-like superfamily	interpro	homologous_superfamily		G3DSA:1.50.10.10	GO:0003824
IPR012344	Matrix protein, lentiviral and alpha-retroviral, N-terminal	interpro	homologous_superfamily		G3DSA:1.10.150.90	
IPR012345	STAT transcription factor, DNA-binding, N-terminal	interpro	homologous_superfamily		G3DSA:2.60.40.630	
IPR012346	p53/RUNT-type transcription factor, DNA-binding domain superfamily	interpro	homologous_superfamily		G3DSA:2.60.40.720	GO:0003677,GO:0003700,GO:0006355,GO:0005634
IPR012347	Ferritin-like	interpro	homologous_superfamily		G3DSA:1.20.1260.10	
IPR012348	Ribonucleotide reductase-like	interpro	homologous_superfamily		G3DSA:1.10.620.20	GO:0016491,GO:0055114
IPR012349	FMN-binding split barrel	interpro	homologous_superfamily		G3DSA:2.30.110.10	
IPR012352	Interleukin-10, additional helical	interpro	homologous_superfamily		G3DSA:4.10.340.10	GO:0005125,GO:0006955
IPR012674	Calycin	interpro	homologous_superfamily		SSF50814,G3DSA:2.40.128.20	
IPR012675	Beta-grasp domain superfamily	interpro	homologous_superfamily		G3DSA:3.10.20.30	
IPR012676	TGS-like	interpro	homologous_superfamily		SSF81271	
IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	interpro	homologous_superfamily		G3DSA:3.30.70.330	
IPR012678	Ribosomal protein L23/L15e core domain superfamily	interpro	homologous_superfamily		SSF54189	GO:0003735,GO:0006412,GO:0005840
IPR013030	DNA topoisomerase I, DNA binding, N-terminal domain 2	interpro	homologous_superfamily		G3DSA:2.170.11.10	GO:0003677,GO:0003917,GO:0006265,GO:0005694
IPR013034	DNA topoisomerase I, DNA binding, N-terminal domain 1	interpro	homologous_superfamily		G3DSA:1.10.10.41	GO:0003917,GO:0006265
IPR013035	Phosphoenolpyruvate carboxykinase, C-terminal	interpro	homologous_superfamily		G3DSA:3.90.228.20	GO:0004611,GO:0017076,GO:0006094
IPR013037	Clathrin adaptor, beta-adaptin, appendage, Ig-like subdomain	interpro	homologous_superfamily		G3DSA:2.60.40.1150	GO:0006886,GO:0016192
IPR013041	Clathrin adaptor, appendage, Ig-like subdomain superfamily	interpro	homologous_superfamily		SSF49348	
IPR013083	Zinc finger, RING/FYVE/PHD-type	interpro	homologous_superfamily		G3DSA:3.30.40.10	
IPR013088	Zinc finger, NHR/GATA-type	interpro	homologous_superfamily		G3DSA:3.30.50.10	GO:0008270,GO:0006355
IPR013319	Glycoside hydrolase family 11/12	interpro	homologous_superfamily		G3DSA:2.60.120.180	GO:0004553
IPR013320	Concanavalin A-like lectin/glucanase domain superfamily	interpro	homologous_superfamily		SSF49899	
IPR013321	Arc-type ribbon-helix-helix	interpro	homologous_superfamily		G3DSA:1.10.1220.10	GO:0006355
IPR013324	RNA polymerase sigma factor, region 3/4-like	interpro	homologous_superfamily		SSF88659	
IPR013325	RNA polymerase sigma factor, region 2	interpro	homologous_superfamily		SSF88946	GO:0003700,GO:0006352,GO:0006355
