Entry	Gene ontology (cellular component)
Q8ND61	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]
Q8N5C1	integral component of plasma membrane [GO:0005887]
Q6ZP82	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; neuron projection [GO:0043005]
B7Z1M9	
Q9BXI9	collagen trimer [GO:0005581]; extracellular space [GO:0005615]
Q5VZK9	cell leading edge [GO:0031252]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; lamellipodium [GO:0030027]; macropinosome [GO:0044354]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
Q5JW98	integral component of plasma membrane [GO:0005887]
Q6ZUS6	
P53634	azurophil granule lumen [GO:0035578]; centrosome [GO:0005813]; collagen-containing extracellular matrix [GO:0062023]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
P00746	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]
P30260	anaphase-promoting complex [GO:0005680]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q86V15	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]
Q9HD42	condensed nuclear chromosome [GO:0000794]; early endosome [GO:0005769]; endomembrane system [GO:0012505]; ESCRT III complex [GO:0000815]; extracellular exosome [GO:0070062]; microtubule organizing center [GO:0005815]; multivesicular body [GO:0005771]; nuclear matrix [GO:0016363]
P49454	axoneme [GO:0005930]; centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; ciliary basal body [GO:0036064]; ciliary transition fiber [GO:0097539]; condensed chromosome outer kinetochore [GO:0000940]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle pole [GO:0000922]
Q7L2Z9	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; kinetochore [GO:0000776]; nucleoplasm [GO:0005654]
P47902	nuclear chromatin [GO:0000790]; nucleus [GO:0005634]
Q9Y4M8	
P40259	B cell receptor complex [GO:0019815]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]
Q96CF2	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; ESCRT III complex [GO:0000815]; Flemming body [GO:0090543]; late endosome membrane [GO:0031902]; midbody [GO:0030496]; multivesicular body [GO:0005771]
Q9BWV3	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A8MXV6	integral component of membrane [GO:0016021]
Q07002	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q5T280	condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; mitotic spindle [GO:0072686]; spindle pole centrosome [GO:0031616]
Q96M91	cilium [GO:0005929]; extracellular region [GO:0005576]
P28907	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]
Q96G28	axoneme [GO:0005930]; ciliary base [GO:0097546]; ciliary transition zone [GO:0035869]; motile cilium [GO:0031514]; nucleus [GO:0005634]
Q9NRB3	Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]; membrane [GO:0016020]
P29016	cell surface [GO:0009986]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]
Q8N0X4	mitochondrion [GO:0005739]
Q96B33	bicellular tight junction [GO:0005923]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O75128	actin filament [GO:0005884]; axon [GO:0030424]; axonal growth cone [GO:0044295]; cell cortex [GO:0005938]; dendrite [GO:0030425]; dendritic growth cone [GO:0044294]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; terminal web [GO:1990357]
Q9UIV1	CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; host cell PML body [GO:0075341]; membrane [GO:0016020]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; P-body [GO:0000932]
P02748	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane attack complex [GO:0005579]; other organism cell membrane [GO:0044218]; plasma membrane [GO:0005886]
Q32Q52	
A6NJI1	
O14493	apical plasma membrane [GO:0016324]; apicolateral plasma membrane [GO:0016327]; basal plasma membrane [GO:0009925]; bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; chloride channel complex [GO:0034707]; integral component of plasma membrane [GO:0005887]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]; tight junction [GO:0070160]
Q96AJ1	centrosome [GO:0005813]; ciliary tip [GO:0097542]; cilium [GO:0005929]; intracellular membrane-bounded organelle [GO:0043231]; intraciliary transport particle B [GO:0030992]; nucleoplasm [GO:0005654]
P49759	cytoplasm [GO:0005737]; nucleus [GO:0005634]
O00299	blood microparticle [GO:0072562]; brush border [GO:0005903]; chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982]
Q8WWK9	centrosome [GO:0005813]; cytoplasmic microtubule [GO:0005881]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; spindle pole [GO:0000922]
Q9UGL9	
Q7Z4B0	extracellular region [GO:0005576]
Q9Y534	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q8WXD9	cytoplasm [GO:0005737]; membrane [GO:0016020]
Q9P1W3	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P35606	COPI vesicle coat [GO:0030126]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; transport vesicle [GO:0030133]
Q16526	mitochondrion [GO:0005739]; nucleus [GO:0005634]
P11509	cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]
Q96L46	cytosol [GO:0005829]; plasma membrane [GO:0005886]
Q86Y56	cytoplasm [GO:0005737]
P01189	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; peroxisomal matrix [GO:0005782]; secretory granule [GO:0030141]; secretory granule lumen [GO:0034774]
P09228	extracellular space [GO:0005615]
Q8WWM9	cytosol [GO:0005829]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]
Q9Y5B0	centrosome [GO:0005813]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; midbody [GO:0030496]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; spindle [GO:0005819]; spindle midzone [GO:0051233]; spindle pole [GO:0000922]
P00167	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]
Q5DJT8	integrator complex [GO:0032039]
Q8TF08	integral component of membrane [GO:0016021]; mitochondrial respirasome [GO:0005746]; respiratory chain complex IV [GO:0045277]
Q08495	actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; cell projection membrane [GO:0031253]; cortical cytoskeleton [GO:0030863]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet dense tubular network membrane [GO:0031095]; postsynaptic density [GO:0014069]; spectrin-associated cytoskeleton [GO:0014731]
Q9UJV9	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nucleus [GO:0005634]
Q9BQY9	cytoplasm [GO:0005737]
Q92841	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
Q6P3S1	clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]
Q9UHL0	chromatoid body [GO:0033391]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]
Q05048	mRNA cleavage stimulating factor complex [GO:0005848]; nucleoplasm [GO:0005654]
Q8IXT1	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P05141	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; MMXD complex [GO:0071817]; nucleus [GO:0005634]
P51816	nuclear speck [GO:0016607]; nucleus [GO:0005634]
Q9NP73	endoplasmic reticulum membrane [GO:0005789]
P35318	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q8N556	actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; focal adhesion [GO:0005925]
Q9UKQ2	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q08462	cytoplasm [GO:0005737]; dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
P33121	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; plasma membrane [GO:0005886]
Q6UXC1	integral component of membrane [GO:0016021]
Q9Y672	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
O75078	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P61204	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q96Q83	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q96PE2	cytosol [GO:0005829]
Q8NBQ7	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
Q63HQ0	cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; transport vesicle [GO:0030133]
O60641	clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; extrinsic component of presynaptic endocytic zone membrane [GO:0098894]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; synaptic vesicle [GO:0008021]
Q6NXT1	cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]
Q15327	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; I band [GO:0031674]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
Q9UHI8	basement membrane [GO:0005604]; cytoplasmic vesicle [GO:0031410]
Q96NH3	cilium [GO:0005929]; cytoplasm [GO:0005737]
Q96KE9	cytosol [GO:0005829]
P49069	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q9NYX4	cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; endosome [GO:0005768]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; postsynaptic endocytic zone [GO:0098843]
Q8TD86	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q5VU97	voltage-gated calcium channel complex [GO:0005891]
Q9UI42	extracellular space [GO:0005615]
Q96BS2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; ruffle membrane [GO:0032587]
Q9P2E5	Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
P25774	collagen-containing extracellular matrix [GO:0062023]; endolysosome lumen [GO:0036021]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; tertiary granule lumen [GO:1904724]
Q9H2X0	extracellular space [GO:0005615]
Q8N8E3	centrosome [GO:0005813]; cytoplasm [GO:0005737]; inhibitory synapse [GO:0060077]; plasma membrane [GO:0005886]
Q96JM3	condensed chromosome [GO:0000793]; condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; Flemming body [GO:0090543]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]
Q5VT06	cell projection [GO:0042995]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; spindle [GO:0005819]
Q5BN46	nucleus [GO:0005634]
A8MTB9	
Q5T5N4	
Q5MAI5	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q99467	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q5T6M2	
Q9Y5K6	actin cytoskeleton [GO:0015629]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; extracellular exosome [GO:0070062]; fibrillar center [GO:0001650]; filamentous actin [GO:0031941]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ruffle [GO:0001726]
P51959	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q6P656	
Q8NHQ1	centrosome [GO:0005813]; cytosol [GO:0005829]
Q8TCT0	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8IUL8	extracellular exosome [GO:0070062]
P0C843	nucleus [GO:0005634]
Q5JTJ3	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
O75175	CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytosol [GO:0005829]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]; P-body [GO:0000932]
Q9NPC3	synaptonemal complex [GO:0000795]
Q8N5I9	
Q9H3J6	mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
A4QN01	
Q9Y271	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q5VZT2	
Q8N1N0	integral component of membrane [GO:0016021]
Q8N1N5	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q6UUV9	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]
Q96A22	extracellular exosome [GO:0070062]
P34998	endosome [GO:0005768]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]
Q6ZS62	integral component of membrane [GO:0016021]; membrane [GO:0016020]
P28325	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q08477	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]
A4D2H0	endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q07092	cell-cell junction [GO:0005911]; collagen-containing extracellular matrix [GO:0062023]; collagen type XVI trimer [GO:0005597]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
A0A1B0GV90	integral component of membrane [GO:0016021]
P81534	extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]
Q2VPK5	cytosol [GO:0005829]; protein-containing complex [GO:0032991]
P24310	integral component of membrane [GO:0016021]; mitochondrial respirasome [GO:0005746]; mitochondrion [GO:0005739]
P59037	
P16410	clathrin-coated endocytic vesicle [GO:0045334]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; integral component of plasma membrane [GO:0005887]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein complex involved in cell adhesion [GO:0098636]
Q9Y6H8	connexin complex [GO:0005922]; integral component of plasma membrane [GO:0005887]
Q5SY80	CatSper complex [GO:0036128]; sperm principal piece [GO:0097228]
A8MYA2	
Q12996	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q7Z7B8	extracellular region [GO:0005576]
Q9HBH1	mitochondrion [GO:0005739]
Q8WTU0	
Q9BQT9	cell surface [GO:0009986]; dendrite [GO:0030425]; endoplasmic reticulum membrane [GO:0005789]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi membrane [GO:0000139]; integral component of postsynaptic density membrane [GO:0099061]; postsynaptic membrane [GO:0045211]; protein-containing complex [GO:0032991]
Q15038	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; protein-containing complex [GO:0032991]
P31947	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q13362	chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]
P50406	cilium [GO:0005929]; dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q96I13	extracellular exosome [GO:0070062]
O60239	cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; mitochondrion [GO:0005739]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]
P00519	actin cytoskeleton [GO:0015629]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nuclear body [GO:0016604]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; postsynapse [GO:0098794]; protein-containing complex [GO:0032991]
P33897	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; integral component of peroxisomal membrane [GO:0005779]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; perinuclear region of cytoplasm [GO:0048471]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]
P09972	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]; tertiary granule lumen [GO:1904724]
P49902	cytosol [GO:0005829]
Q9NVV5	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q9BZC7	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cytoplasmic vesicle [GO:0031410]; endosome [GO:0005768]; endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; plasma membrane [GO:0005886]
Q7Z591	centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]
Q9Y2J4	apical plasma membrane [GO:0016324]; bicellular tight junction [GO:0005923]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]
Q9UKB5	adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell-cell contact zone [GO:0044291]; cell surface [GO:0009986]; cytoplasmic side of plasma membrane [GO:0009898]; spanning component of plasma membrane [GO:0044214]
P08319	cytosol [GO:0005829]; nucleoplasm [GO:0005654]
Q68CK6	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9BYV1	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q8TCU4	centrosome [GO:0005813]; cilium [GO:0005929]; cytosol [GO:0005829]; spindle pole [GO:0000922]
Q01433	cytosol [GO:0005829]
Q92624	cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; nucleus [GO:0005634]
O15084	cytosol [GO:0005829]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]
P27216	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; exocytic vesicle [GO:0070382]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; extrinsic component of membrane [GO:0019898]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
Q02410	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; presynaptic active zone membrane [GO:0048787]; Schaffer collateral - CA1 synapse [GO:0098685]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]
O15265	cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9ULK2	
Q86Z23	collagen trimer [GO:0005581]; extracellular space [GO:0005615]
P35670	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; membrane [GO:0016020]; mitochondrion [GO:0005739]; trans-Golgi network membrane [GO:0032588]
P0DP24	calcium channel complex [GO:0034704]; catalytic complex [GO:1902494]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; sarcomere [GO:0030017]; spindle microtubule [GO:0005876]; spindle pole [GO:0000922]; vesicle [GO:0031982]
Q86XJ0	basolateral plasma membrane [GO:0016323]; integral component of plasma membrane [GO:0005887]
