Entry	Gene ontology (cellular component)
Q3UHC7	AIP1-IRE1 complex [GO:1990597]; axon [GO:0030424]; cerebellar mossy fiber [GO:0044300]; climbing fiber [GO:0044301]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endocytic vesicle [GO:0030139]; neuronal cell body [GO:0043025]; neuronal cell body membrane [GO:0032809]; parallel fiber [GO:1990032]; plasma membrane [GO:0005886]
Q6PEE2	cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]
Q0V8T7	integral component of membrane [GO:0016021]
P48771	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respirasome [GO:0005746]; mitochondrion [GO:0005739]
Q8C5N3	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]
Q64263	extracellular space [GO:0005615]
Q9D9V7	recycling endosome [GO:0055037]
Q8C1A9	extracellular region [GO:0005576]
Q497M3	
O54826	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
J3QMK6	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q6P6J4	nucleoplasm [GO:0005654]
Q3UMC0	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
Q9CZW4	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; perinuclear region of cytoplasm [GO:0048471]; peroxisomal membrane [GO:0005778]; plasma membrane [GO:0005886]
O88888	cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q8K298	actin cytoskeleton [GO:0015629]; actomyosin contractile ring [GO:0005826]; bleb [GO:0032059]; cell cortex region [GO:0099738]; midbody [GO:0030496]; nucleoplasm [GO:0005654]
P84091	AP-2 adaptor complex [GO:0030122]; clathrin-coated pit [GO:0005905]; cytoplasmic vesicle [GO:0031410]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793]; secretory granule [GO:0030141]
Q9CPX9	anaphase-promoting complex [GO:0005680]; cullin-RING ubiquitin ligase complex [GO:0031461]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q769J6	extracellular space [GO:0005615]
Q811B3	extracellular region [GO:0005576]
P51670	extracellular space [GO:0005615]
Q9CWL2	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]
Q8BRN9	intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
D3Z1D3	Z disc [GO:0030018]
Q3UFQ8	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q8C6L5	cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; site of double-strand break [GO:0035861]
P27790	chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; condensed nuclear chromosome, centromeric region [GO:0000780]; host cell nucleus [GO:0042025]; nuclear body [GO:0016604]; nuclear pericentric heterochromatin [GO:0031618]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q3U6N9	
P53568	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q3V3A1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q03147	cyclin-dependent protein kinase activating kinase holoenzyme complex [GO:0019907]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; transcription factor TFIIH holo complex [GO:0005675]; transcription factor TFIIK complex [GO:0070985]
Q99LL3	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q8K3P5	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9CZP7	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9CX13	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; integral component of membrane [GO:0016021]
Q6DFV1	condensin complex [GO:0000796]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9QXX4	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q7TSQ1	extracellular space [GO:0005615]
Q8C5W0	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; meiotic nuclear membrane microtubule tethering complex [GO:0034993]; membrane [GO:0016020]; nuclear outer membrane [GO:0005640]
Q8BWY9	cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8VI21	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8CG14	extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q8BV13	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]
Q02862	extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q91W29	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]
A6H6Q4	
Q32M00	nucleus [GO:0005634]
P12791	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial inner membrane [GO:0005743]
Q3UST5	cytosol [GO:0005829]; extracellular region [GO:0005576]; membrane [GO:0016020]
Q64462	endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]
Q91VF6	collagen trimer [GO:0005581]; endoplasmic reticulum [GO:0005783]; extracellular matrix [GO:0031012]; Golgi apparatus [GO:0005794]
P56567	cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]
Q9JHH5	extracellular space [GO:0005615]
Q91WA4	cytosol [GO:0005829]; nucleoplasm [GO:0005654]
Q9D1D6	collagen trimer [GO:0005581]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]
Q8VE73	3M complex [GO:1990393]; centrosome [GO:0005813]; Cul7-RING ubiquitin ligase complex [GO:0031467]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; perinuclear region of cytoplasm [GO:0048471]
Q9CR35	cytoplasm [GO:0005737]; extracellular space [GO:0005615]; lysosome [GO:0005764]
P28236	connexin complex [GO:0005922]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]
Q9JM84	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q9D8X1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8R4X1	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P48193	actin cytoskeleton [GO:0015629]; basolateral plasma membrane [GO:0016323]; cell cortex region [GO:0099738]; cell junction [GO:0030054]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; membrane [GO:0016020]; mitotic spindle [GO:0072686]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]
Q5YD48	apolipoprotein B mRNA editing enzyme complex [GO:0030895]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; mRNA editing complex [GO:0045293]; nuclear heterochromatin [GO:0005720]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9CR21	mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
Q8R420	alveolar lamellar body [GO:0097208]; alveolar lamellar body membrane [GO:0097233]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
Q8R519	cytoplasm [GO:0005737]; cytosol [GO:0005829]
O88845	cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
P04756	acetylcholine-gated channel complex [GO:0005892]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic specialization membrane [GO:0099060]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q6NSR3	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
Q8BM81	integral component of membrane [GO:0016021]
Q7TN31	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; perinuclear region of cytoplasm [GO:0048471]
Q9EPJ9	Golgi membrane [GO:0000139]; postsynaptic density [GO:0014069]; synapse [GO:0045202]
Q8VEH3	axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; midbody [GO:0030496]; spindle midzone [GO:0051233]; synapse [GO:0045202]; vacuolar membrane [GO:0005774]
Q9JKW0	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; Sec61 translocon complex [GO:0005784]
Q5U464	cytosol [GO:0005829]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; ruffle [GO:0001726]
Q9WV54	extracellular space [GO:0005615]; lysosome [GO:0005764]; nucleus [GO:0005634]
O70228	early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; integral component of membrane [GO:0016021]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; trans-Golgi network [GO:0005802]
Q8C9W3	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]
Q9JM83	
Q8C025	endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q8BI72	granular component [GO:0001652]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9D7F7	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; ESCRT III complex [GO:0000815]; Flemming body [GO:0090543]; late endosome membrane [GO:0031902]; midbody [GO:0030496]; multivesicular body [GO:0005771]
P50283	integral component of membrane [GO:0016021]
O35280	centrosome [GO:0005813]; chromatin [GO:0000785]; condensed nuclear chromosome [GO:0000794]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; replication fork [GO:0005657]
P10300	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O35216	chromosome, centromeric region [GO:0000775]; condensed chromosome inner kinetochore [GO:0000939]; condensed nuclear chromosome, centromeric region [GO:0000780]; condensed nuclear chromosome kinetochore [GO:0000778]; nuclear nucleosome [GO:0000788]; nuclear pericentric heterochromatin [GO:0031618]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P60334	cytosol [GO:0005829]; plasma membrane [GO:0005886]
O88199	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; trans-Golgi network [GO:0005802]
Q9Z0G4	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; podosome [GO:0002102]
Q8K4F0	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
Q80WV3	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; trans-Golgi network [GO:0005802]
Q07763	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
O35495	cytoplasm [GO:0005737]; cytoplasmic cyclin-dependent protein kinase holoenzyme complex [GO:0000308]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q3V0B4	acrosomal membrane [GO:0002080]; acrosomal vesicle [GO:0001669]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; sperm flagellum [GO:0036126]; sperm midpiece [GO:0097225]
O55233	extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q9EP78	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; trans-Golgi network [GO:0005802]
Q8CEQ0	ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P11610	endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]
Q69Z26	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]
Q0GA42	dendrite [GO:0030425]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]
O88551	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; tight junction [GO:0070160]
B9EHT4	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; early endosome membrane [GO:0031901]; Golgi stack [GO:0005795]; membrane raft [GO:0045121]; microtubule plus-end [GO:0035371]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]
Q5QR91	integral component of membrane [GO:0016021]
Q9CPQ1	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q9WVL7	extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q01231	cell projection [GO:0042995]; connexin complex [GO:0005922]; gap junction [GO:0005921]; integral component of plasma membrane [GO:0005887]; intercalated disc [GO:0014704]
C6KI89	CatSper complex [GO:0036128]; motile cilium [GO:0031514]; sperm principal piece [GO:0097228]
P59055	nucleus [GO:0005634]
Q9D269	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; nucleus [GO:0005634]; sperm flagellum [GO:0036126]; sperm head [GO:0061827]
P00015	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respirasome [GO:0070469]
Q91V70	extracellular space [GO:0005615]
Q9D454	
Q9Z0M6	external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]
Q8C138	caveola [GO:0005901]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
P48962	integral component of mitochondrial membrane [GO:0032592]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; myelin sheath [GO:0043209]
Q8VDL4	endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]
Q6PD19	cytosol [GO:0005829]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q91YI0	cell body fiber [GO:0070852]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; mitochondrial outer membrane [GO:0005741]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]
Q80U35	
Q14AT5	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A2BH40	brahma complex [GO:0035060]; nBAF complex [GO:0071565]; npBAF complex [GO:0071564]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; SWI/SNF complex [GO:0016514]
Q9WV06	cytoplasm [GO:0005737]; cytosol [GO:0005829]; euchromatin [GO:0000791]; I band [GO:0031674]; intracellular membrane-bounded organelle [GO:0043231]; myofibril [GO:0030016]; nucleus [GO:0005634]; PML body [GO:0016605]; sarcomere [GO:0030017]
Q64518	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; organelle membrane [GO:0031090]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum membrane [GO:0033017]
P19091	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; host cell nucleus [GO:0042025]; nuclear chromatin [GO:0000790]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q03288	extracellular space [GO:0005615]
P56383	cation channel complex [GO:0034703]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]
Q9CPX6	cytoplasmic ubiquitin ligase complex [GO:0000153]; cytosol [GO:0005829]
Q3TYD4	endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; lysosome [GO:0005764]
Q8K2G4	axoneme [GO:0005930]; BBSome [GO:0034464]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary membrane [GO:0060170]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleus [GO:0005634]; photoreceptor outer segment [GO:0001750]
Q8BNJ2	collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; nuclear speck [GO:0016607]
