Entry	Gene ontology (cellular component)
Q25C79	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053]
A0A0G2K047	mitochondrial matrix [GO:0005759]
Q499N5	mitochondrion [GO:0005739]
A2RUV9	extracellular space [GO:0005615]
P55207	extracellular space [GO:0005615]; protein-containing complex [GO:0032991]; secretory granule [GO:0030141]
P06761	cell surface [GO:0009986]; COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; smooth endoplasmic reticulum [GO:0005790]
Q9QXY8	extracellular space [GO:0005615]
Q5XIR4	peroxisome [GO:0005777]
P48284	anchored component of external side of plasma membrane [GO:0031362]; anchored component of plasma membrane [GO:0046658]; apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; rough endoplasmic reticulum [GO:0005791]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; secretory granule membrane [GO:0030667]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]
Q6YDN7	anaphase-promoting complex [GO:0005680]
Q9JHX4	CD95 death-inducing signaling complex [GO:0031265]; cell body [GO:0044297]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; death-inducing signaling complex [GO:0031264]; membrane raft [GO:0045121]; neuron projection [GO:0043005]; Noc1p-Noc2p complex [GO:0030690]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ripoptosome [GO:0097342]
P16228	endosome [GO:0005768]
Q9JHW1	extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
P48442	apical plasma membrane [GO:0016324]; axon [GO:0030424]; axon terminus [GO:0043679]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P80067	centrosome [GO:0005813]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]
P49192	extracellular space [GO:0005615]; secretory granule [GO:0030141]; synapse [GO:0045202]
Q9WTV1	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]
O88278	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q68FU5	
Q63111	
Q63686	cytoplasm [GO:0005737]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; neuron projection [GO:0043005]; nucleus [GO:0005634]; synaptic vesicle [GO:0008021]
Q9JIK1	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; clathrin-coated pit [GO:0005905]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; microvillus membrane [GO:0031528]; spanning component of plasma membrane [GO:0044214]
P0C5I0	endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]
Q5HZB6	nucleoplasm [GO:0005654]
Q67EQ0	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8CJ58	basal part of cell [GO:0045178]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; stereocilium [GO:0032420]; trans-Golgi network transport vesicle [GO:0030140]
Q566Q8	
P56374	
P02524	
Q8K4D6	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P97696	adherens junction [GO:0005912]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; plasma membrane [GO:0005886]; ruffle [GO:0001726]
Q5XIQ3	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q0V8T3	integral component of membrane [GO:0016021]
P28233	connexin complex [GO:0005922]; integral component of membrane [GO:0016021]
Q62908	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q5U2X5	adherens junction [GO:0005912]; axon [GO:0030424]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytoophidium [GO:0097268]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; dendrite [GO:0030425]; endosome [GO:0005768]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; Grb2-EGFR complex [GO:0070436]; growth cone [GO:0030426]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q704E8	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P37136	anchored component of membrane [GO:0031225]; axon [GO:0030424]; basement membrane [GO:0005604]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; rough endoplasmic reticulum [GO:0005791]; synapse [GO:0045202]; synaptic cleft [GO:0043083]
Q80W57	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; external side of apical plasma membrane [GO:0098591]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q7TP48	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
P84082	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]
P46933	cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; endoplasmic reticulum [GO:0005783]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; growth cone filopodium [GO:1990812]; growth cone lamellipodium [GO:1990761]; lamellipodium [GO:0030027]; main axon [GO:0044304]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic membrane [GO:0045211]; presynapse [GO:0098793]; presynaptic membrane [GO:0042734]; protein-containing complex [GO:0032991]; Schaffer collateral - CA1 synapse [GO:0098685]; synapse [GO:0045202]
P52303	clathrin adaptor complex [GO:0030131]; clathrin coat [GO:0030118]; clathrin-coated vesicle membrane [GO:0030665]; Golgi apparatus [GO:0005794]
Q6AY69	phagophore assembly site [GO:0000407]
Q3KRF3	chromosome [GO:0005694]
P26051	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell projection [GO:0042995]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; lamellipodium membrane [GO:0031258]; macrophage migration inhibitory factor receptor complex [GO:0035692]; microvillus [GO:0005902]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
Q9QZL2	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; trans-Golgi network [GO:0005802]
P55272	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P20294	axon [GO:0030424]; cytosol [GO:0005829]; extracellular space [GO:0005615]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane bounded cell projection cytoplasm [GO:0032838]
Q9WU49	cytoplasm [GO:0005737]; cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]; P-body [GO:0000932]; P granule [GO:0043186]
Q99PP0	cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]
P51792	apical plasma membrane [GO:0016324]; axon terminus [GO:0043679]; cytoplasmic vesicle [GO:0031410]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; inhibitory synapse [GO:0060077]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic membrane [GO:0099055]; integral component of synaptic vesicle membrane [GO:0030285]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; secretory granule [GO:0030141]; specific granule [GO:0042581]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; vesicle membrane [GO:0012506]
Q64359	intracellular cyclic nucleotide activated cation channel complex [GO:0017071]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]
P32738	axon [GO:0030424]; cytoplasm [GO:0005737]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; synapse [GO:0045202]
P11240	mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]
Q63400	apical junction complex [GO:0043296]; apicolateral plasma membrane [GO:0016327]; bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; lateral plasma membrane [GO:0016328]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; tight junction [GO:0070160]
P24623	cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q5BJU6	nucleus [GO:0005634]
Q5PQS5	integral component of membrane [GO:0016021]
P10068	
Q6MG71	apical plasma membrane [GO:0016324]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
O88797	apical plasma membrane [GO:0016324]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; clathrin-coated vesicle membrane [GO:0030665]; clathrin coat of coated pit [GO:0030132]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P80430	apical plasma membrane [GO:0016324]; apical plasma membrane urothelial plaque [GO:0120001]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P28234	cell projection [GO:0042995]; connexin complex [GO:0005922]; gap junction [GO:0005921]; integral component of plasma membrane [GO:0005887]; intercalated disc [GO:0014704]
Q6MG55	integral component of membrane [GO:0016021]
P40146	apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; caveola [GO:0005901]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle membrane [GO:0030665]; dendrite [GO:0030425]; excitatory synapse [GO:0060076]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; integral component of plasma membrane [GO:0005887]; integral component of presynaptic membrane [GO:0099056]; membrane [GO:0016020]; membrane raft [GO:0045121]; neuronal cell body membrane [GO:0032809]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynaptic density [GO:0014069]; presynaptic active zone [GO:0048786]; Schaffer collateral - CA1 synapse [GO:0098685]
P62738	actin cytoskeleton [GO:0015629]; cell body [GO:0044297]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; filopodium [GO:0030175]; lamellipodium [GO:0030027]; protein-containing complex [GO:0032991]; smooth muscle contractile fiber [GO:0030485]; stress fiber [GO:0001725]
Q9WVT0	apical part of cell [GO:0045177]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8CJ11	apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; integral component of plasma membrane [GO:0005887]
P63259	actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; apical junction complex [GO:0043296]; apical part of cell [GO:0045177]; basal body patch [GO:0120220]; calyx of Held [GO:0044305]; cell-cell junction [GO:0005911]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dense body [GO:0097433]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; myofibril [GO:0030016]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; postsynaptic actin cytoskeleton [GO:0098871]; presynaptic actin cytoskeleton [GO:0099143]; Schaffer collateral - CA1 synapse [GO:0098685]
G3V909	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; nucleus [GO:0005634]
Q810U0	cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule [GO:0005874]
Q9WUW3	extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634]
Q9QZX9	centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; spindle pole [GO:0000922]
P70500	endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9QZA6	basement membrane [GO:0005604]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]
P39947	host cell nucleus [GO:0042025]; mediator complex [GO:0016592]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]
Q5PQQ9	centrosome [GO:0005813]; cytoplasm [GO:0005737]
Q5XIR8	
Q63398	nucleus [GO:0005634]
P63255	cytoplasm [GO:0005737]
P07756	cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; protein-containing complex [GO:0032991]
P51538	endoplasmic reticulum membrane [GO:0005789]
P02528	
O35828	cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; trans-Golgi network [GO:0005802]
P24470	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]
Q6P730	AIP1-IRE1 complex [GO:1990597]; axon [GO:0030424]; cerebellar mossy fiber [GO:0044300]; climbing fiber [GO:0044301]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; endocytic vesicle [GO:0030139]; neuronal cell body [GO:0043025]; neuronal cell body membrane [GO:0032809]; parallel fiber [GO:1990032]; plasma membrane [GO:0005886]
Q09073	integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]; MMXD complex [GO:0071817]
Q5QE78	cytosol [GO:0005829]
P02706	integral component of membrane [GO:0016021]
P50298	cytosol [GO:0005829]
O35815	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; nuclear inclusion body [GO:0042405]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P29418	mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic core F(1) [GO:0000275]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]
Q8K1M8	dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; neuronal cell body [GO:0043025]
Q5FVJ6	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; lipid droplet [GO:0005811]
P26453	acrosomal membrane [GO:0002080]; axon [GO:0030424]; integral component of plasma membrane [GO:0005887]; melanosome [GO:0042470]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]
Q63767	actin cytoskeleton [GO:0015629]; axon [GO:0030424]; cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; plasma membrane [GO:0005886]; ruffle [GO:0001726]
Q80WL2	apical part of cell [GO:0045177]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoplasmic microtubule [GO:0005881]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; preribosome, small subunit precursor [GO:0030688]
P56819	axon [GO:0030424]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; dendrite [GO:0030425]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; integral component of plasma membrane [GO:0005887]; late endosome [GO:0005770]; lysosome [GO:0005764]; membrane [GO:0016020]; membrane raft [GO:0045121]; multivesicular body [GO:0005771]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]
O35147	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
O88419	Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]
P50229	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q8R4C0	cell surface [GO:0009986]; cytoplasm [GO:0005737]; synapse [GO:0045202]
Q32PZ9	post-mRNA release spliceosomal complex [GO:0071014]; U2-type spliceosomal complex [GO:0005684]
Q5U2R2	
P51868	cytoplasm [GO:0005737]; junctional membrane complex [GO:0030314]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum lumen [GO:0033018]; Z disc [GO:0030018]
P27139	apical part of cell [GO:0045177]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; microvillus [GO:0005902]; myelin sheath [GO:0043209]; plasma membrane [GO:0005886]
Q9QZE3	extracellular space [GO:0005615]; lysosome [GO:0005764]
D3ZZ07	endosome [GO:0005768]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
P30337	
Q68FW2	adherens junction [GO:0005912]; cytosol [GO:0005829]
A0JPQ1	
P63039	cell surface [GO:0009986]; clathrin-coated pit [GO:0005905]; coated vesicle [GO:0030135]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lipopolysaccharide receptor complex [GO:0046696]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrial crista [GO:0030061]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; rough endoplasmic reticulum [GO:0005791]; secretory granule [GO:0030141]; zymogen granule [GO:0042588]
Q3ZAU7	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]
Q568Z7	cuticular plate [GO:0032437]; cytoplasm [GO:0005737]; muscle tendon junction [GO:0005927]; neuromuscular junction [GO:0031594]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]; sarcolemma [GO:0042383]; stereocilium [GO:0032420]
Q6MG51	
Q4QQW5	host cell nucleus [GO:0042025]; nucleus [GO:0005634]
P30277	centrosome [GO:0005813]; condensed nuclear chromosome outer kinetochore [GO:0000942]; cyclin B1-CDK1 complex [GO:0097125]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; host cell nucleus [GO:0042025]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]; spindle pole [GO:0000922]
Q4V7C1	cell projection [GO:0042995]; centriole [GO:0005814]; centrosome [GO:0005813]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
P39949	centrosome [GO:0005813]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cyclin E1-CDK2 complex [GO:0097134]; cytoplasm [GO:0005737]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]
Q62845	anchored component of membrane [GO:0031225]; axon [GO:0030424]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
Q6Q0N1	cytosol [GO:0005829]; nucleoplasm [GO:0005654]
P35524	chloride channel complex [GO:0034707]; integral component of plasma membrane [GO:0005887]; sarcolemma [GO:0042383]
Q9EPT8	actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; cell cortex [GO:0005938]; chloride channel complex [GO:0034707]; Golgi apparatus [GO:0005794]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; stereocilium [GO:0032420]; stereocilium bundle [GO:0032421]
Q66HD5	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; microtubule plus-end [GO:0035371]; nucleus [GO:0005634]
P48199	extracellular space [GO:0005615]; filopodium [GO:0030175]; growth cone [GO:0030426]
Q68FW9	COP9 signalosome [GO:0008180]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]
Q07490	anchored component of external side of plasma membrane [GO:0031362]; anchored component of plasma membrane [GO:0046658]; cell surface [GO:0009986]; ciliary membrane [GO:0060170]; external side of plasma membrane [GO:0009897]; membrane [GO:0016020]; membrane raft [GO:0045121]; microvillus membrane [GO:0031528]; plasma membrane [GO:0005886]; presynapse [GO:0098793]
Q7TPB4	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]
Q157S1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; nuclear body [GO:0016604]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]
P17178	mitochondrial envelope [GO:0005740]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P33272	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]
O89046	actin filament [GO:0005884]; cell leading edge [GO:0031252]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; lamellipodium [GO:0030027]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; stress fiber [GO:0001725]
Q4KLM5	nucleolus [GO:0005730]; transcription regulator complex [GO:0005667]
Q9QY44	integral component of membrane [GO:0016021]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]
