Entry	Gene ontology (cellular component)
Q9FGS0	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; plastid [GO:0009536]; ribonucleoprotein complex [GO:1990904]
O64641	
Q940T9	nucleus [GO:0005634]
P80830	cell wall [GO:0005618]; extracellular region [GO:0005576]
Q9ZQY6	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]
Q39250	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]
Q7G192	cytosol [GO:0005829]
Q9LTW0	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; late endosome membrane [GO:0031902]; plasma membrane [GO:0005886]
Q9SJU4	apoplast [GO:0048046]; chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; chloroplast thylakoid [GO:0009534]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; plastoglobule [GO:0010287]; thylakoid [GO:0009579]; thylakoid lumen [GO:0031977]
Q9LDD4	nucleus [GO:0005634]; vacuole [GO:0005773]
Q84JF0	chloroplast [GO:0009507]; cytosol [GO:0005829]; plastid [GO:0009536]
Q84N64	chloroplast [GO:0009507]; chloroplast outer membrane [GO:0009707]; cytoplasm [GO:0005737]; membrane [GO:0016020]; peroxisome [GO:0005777]
Q944R7	
Q9LVG4	nucleus [GO:0005634]
Q9LVK3	Atg12-Atg5-Atg16 complex [GO:0034274]; phagophore assembly site membrane [GO:0034045]
Q9S9K4	anchored component of membrane [GO:0031225]; anchored component of plasma membrane [GO:0046658]; plasma membrane [GO:0005886]
Q9LZV8	integral component of membrane [GO:0016021]
Q0WPK3	cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; phagophore assembly site membrane [GO:0034045]; vacuolar membrane [GO:0005774]
O80366	nucleus [GO:0005634]
F4IK01	cytosol [GO:0005829]; HAUS complex [GO:0070652]; microtubule [GO:0005874]; phragmoplast [GO:0009524]; spindle [GO:0005819]
Q8W0Z7	cytosol [GO:0005829]
F4IUW3	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
Q03509	cytosol [GO:0005829]; plastid [GO:0009536]
O82307	cytoplasm [GO:0005737]
Q9LT81	
Q9STS7	chloroplast [GO:0009507]; chloroplast thylakoid lumen [GO:0009543]; chloroplast thylakoid membrane [GO:0009535]; cytosol [GO:0005829]; thylakoid lumen [GO:0031977]
O81862	cell wall [GO:0005618]; extracellular region [GO:0005576]; secretory vesicle [GO:0099503]
Q8L7B5	chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
Q9S7I8	anaphase-promoting complex [GO:0005680]; mitotic checkpoint complex [GO:0033597]; nucleus [GO:0005634]
B3DNN5	anaphase-promoting complex [GO:0005680]; cytoplasm [GO:0005737]
O49639	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q9SEZ3	nucleus [GO:0005634]
Q9LRN6	
Q9M209	cytoplasm [GO:0005737]; cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]; nuclear exosome (RNase complex) [GO:0000176]; nucleus [GO:0005634]
Q9LQN4	
Q9SJ22	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
Q9ZPV8	cytosol [GO:0005829]
Q8RWS9	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9FJ13	anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]
O48947	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
F4JZY1	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; plastid [GO:0009536]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]
O22267	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]
P43255	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9SJA2	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q0PW40	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O64816	chloroplast [GO:0009507]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein kinase CK2 complex [GO:0005956]
Q8W206	COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9LRM1	extracellular region [GO:0005576]
Q9LUL1	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
F4IUE7	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
Q9SA37	endomembrane system [GO:0012505]; integral component of membrane [GO:0016021]
Q9SUD3	mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
A1L4Y2	cytosol [GO:0005829]
Q9FKK2	nucleus [GO:0005634]
Q9SA98	mitochondrion [GO:0005739]; nuclear euchromatin [GO:0005719]
Q7X9N2	nucleus [GO:0005634]; plasma membrane [GO:0005886]
O65581	cytosol [GO:0005829]
Q9C8D4	peroxisome [GO:0005777]
O80644	
Q9LU14	apoplast [GO:0048046]
Q9LHE3	
Q9SAF1	Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]
Q9FLC6	integral component of membrane [GO:0016021]
Q9LUZ9	early endosome [GO:0005769]; endosome [GO:0005768]; Golgi-associated vesicle [GO:0005798]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O04479	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9LY41	integral component of membrane [GO:0016021]
P83484	chloroplast envelope [GO:0009941]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic core F(1) [GO:0000275]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]
Q9ZPS9	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8H1B3	cytoplasm [GO:0005737]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; mediator complex [GO:0016592]; membrane [GO:0016020]; nucleus [GO:0005634]; secretory vesicle [GO:0099503]
Q9ZU50	integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
Q9LKR7	endoplasmic reticulum lumen [GO:0005788]; plastid [GO:0009536]
Q7XHI7	nucleus [GO:0005634]
B0F481	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9FI21	cell wall [GO:0005618]; extracellular region [GO:0005576]
F4IDI6	
Q8W4D4	integral component of membrane [GO:0016021]
Q9LIP3	integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q9SRX9	nuclear speck [GO:0016607]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9SHG5	integral component of membrane [GO:0016021]
Q9LUC6	integral component of membrane [GO:0016021]
Q9SLP1	integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q9SZU1	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q9CA60	integral component of membrane [GO:0016021]; membrane [GO:0016020]
P29402	chloroplast [GO:0009507]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; plant-type cell wall [GO:0009505]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]
Q8GZA4	integral component of membrane [GO:0016021]; nucleus [GO:0005634]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]
Q84WU9	cytosol [GO:0005829]; post-mRNA release spliceosomal complex [GO:0071014]
Q9LSF8	integral component of membrane [GO:0016021]; membrane [GO:0016020]
O04151	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasmodesma [GO:0009506]; secretory vesicle [GO:0099503]; vacuolar membrane [GO:0005774]
Q9LTG5	1,3-beta-D-glucan synthase complex [GO:0000148]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9SFU6	1,3-beta-D-glucan synthase complex [GO:0000148]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9FL40	Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]
Q9M2U5	cell wall [GO:0005618]
Q94BR5	nucleus [GO:0005634]
Q38868	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
O65896	cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q9LPI5	nucleus [GO:0005634]
Q38871	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q6XBF8	apoplast [GO:0048046]; extracellular region [GO:0005576]
Q58P71	integral component of membrane [GO:0016021]
O80513	
F4IR05	integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q9SWW6	cellulose synthase complex [GO:0010330]; chloroplast [GO:0009507]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
O48946	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]
O22845	endomembrane system [GO:0012505]; integral component of endosome membrane [GO:0031303]
O81223	calcineurin complex [GO:0005955]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9LF37	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; plastid [GO:0009536]; plastid stroma [GO:0009532]
Q8GW78	chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; plastid stroma [GO:0009532]
Q2V4E2	apoplast [GO:0048046]; extracellular space [GO:0005615]
P20115	cell wall [GO:0005618]; chloroplast [GO:0009507]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P40229	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein kinase CK2 complex [GO:0005956]
Q94A87	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9C942	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]
Q9FHD4	anchored component of membrane [GO:0031225]; anchored component of plasma membrane [GO:0046658]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O65482	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9LRL1	extracellular region [GO:0005576]
O65476	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q9FNE8	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q39061	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]; thylakoid [GO:0009579]
Q501G6	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q8VZZ4	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plant-type vacuole [GO:0000325]; plasmodesma [GO:0009506]; vacuolar membrane [GO:0005774]
Q9FT51	integral component of membrane [GO:0016021]
Q9LYU8	chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]
Q9SMX5	cytoplasm [GO:0005737]
O04529	anchored component of membrane [GO:0031225]; extracellular matrix [GO:0031012]; plasma membrane [GO:0005886]
Q9FHA2	nucleus [GO:0005634]
F4IJ77	integral component of membrane [GO:0016021]
O80944	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]
Q8L7A4	
Q9SK86	cytosol [GO:0005829]; nucleus [GO:0005634]
Q93Z29	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; plant-type vacuole membrane [GO:0009705]
Q9LLC1	acetyl-CoA carboxylase complex [GO:0009317]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]
Q1PFD1	nucleus [GO:0005634]
Q9FKR9	preribosome, large subunit precursor [GO:0030687]
Q84MA5	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q9FNZ2	small-subunit processome [GO:0032040]
Q9M0G2	plasma membrane [GO:0005886]
Q8L7S3	
Q9LNV5	nucleus [GO:0005634]; Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]
O24598	
Q3B724	1,3-beta-D-glucan synthase complex [GO:0000148]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
O04153	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]
Q8W032	nucleus [GO:0005634]
F4J9M5	nucleus [GO:0005634]
Q8VZW3	
Q93XW7	
P34893	cytosol [GO:0005829]; extracellular region [GO:0005576]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9S847	cytosol [GO:0005829]
P16127	cell wall [GO:0005618]; chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; magnesium chelatase complex [GO:0010007]
Q9ZSA2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]
Q9LI84	
Q94AZ4	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9SVG9	
Q7FZF1	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9LFW3	anchored component of membrane [GO:0031225]; anchored component of plasma membrane [GO:0046658]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
Q67YU0	extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q84W98	apoplast [GO:0048046]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q29PU4	apoplast [GO:0048046]; extracellular space [GO:0005615]
F4K493	nucleus [GO:0005634]
F4I8S3	nucleus [GO:0005634]
Q9LW62	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasmodesma [GO:0009506]
