Entry	Gene ontology (cellular component)
Q9NEZ7	axoneme [GO:0005930]; BBSome [GO:0034464]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; neuron projection [GO:0043005]
O44739	
P20163	cytoplasm [GO:0005737]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; membrane [GO:0016020]; nucleus [GO:0005634]; rough endoplasmic reticulum [GO:0005791]
G5ED41	nucleus [GO:0005634]
G5EG14	cytoplasm [GO:0005737]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]
G5EDK5	axon [GO:0030424]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q94126	nucleus [GO:0005634]
Q9U2Y2	
P48376	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P48180	cell projection [GO:0042995]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]
Q27515	
G5EDN6	endoplasmic reticulum [GO:0005783]; sarcomere [GO:0030017]; striated muscle dense body [GO:0055120]
Q21286	apical plasma membrane [GO:0016324]; integral component of membrane [GO:0016021]
Q22695	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; protein kinase 5 complex [GO:0016533]; synapse [GO:0045202]
Q09272	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q9TYP2	host cell nucleus [GO:0042025]; mediator complex [GO:0016592]; nucleus [GO:0005634]
P34312	extracellular region [GO:0005576]
Q17586	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q21444	Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]
P18832	collagen trimer [GO:0005581]
H2L0N8	ciliary inversin compartment [GO:0097543]; ciliary membrane [GO:0060170]; cilium [GO:0005929]; microvillus membrane [GO:0031528]; non-motile cilium [GO:0097730]
P34686	cytoplasm [GO:0005737]; dynactin complex [GO:0005869]; F-actin capping protein complex [GO:0008290]
P34545	cytoplasm [GO:0005737]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]
P34641	integral component of membrane [GO:0016021]
Q9N3Z3	cytoplasm [GO:0005737]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
G5ECD6	cell cortex [GO:0005938]; cell periphery [GO:0071944]; cell septum [GO:0030428]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q20799	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P41996	external encapsulating structure [GO:0030312]; perivitelline space [GO:0098595]
P43510	extracellular space [GO:0005615]; lysosome [GO:0005764]
Q9N3Q4	chromatin [GO:0000785]; nucleus [GO:0005634]
P34652	cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; perinuclear region of cytoplasm [GO:0048471]
Q10653	centrosome [GO:0005813]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; host cell nucleus [GO:0042025]; nucleus [GO:0005634]
Q22361	dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; perinuclear endoplasmic reticulum [GO:0097038]; synapse [GO:0045202]
Q8MYM9	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P34666	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrion [GO:0005739]
Q09219	plasma membrane [GO:0005886]
A0A1C3NSL9	adherens junction [GO:0005912]; apical junction complex [GO:0043296]; apical plasma membrane [GO:0016324]; apicolateral plasma membrane [GO:0016327]; cell-cell junction [GO:0005911]; ciliary basal body [GO:0036064]; dendrite terminus [GO:0044292]
Q10943	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]
P35602	AP-1 adaptor complex [GO:0030121]; clathrin-coated vesicle [GO:0030136]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; intracellular membrane-bounded organelle [GO:0043231]
Q9XTT4	actomyosin contractile ring [GO:0005826]; cell cortex [GO:0005938]; cell leading edge [GO:0031252]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; growth cone [GO:0030426]; microtubule [GO:0005874]; midbody [GO:0030496]; nucleus [GO:0005634]; spindle [GO:0005819]
Q09994	actomyosin contractile ring [GO:0005826]; cytoplasm [GO:0005737]
Q21209	BRCA1-BARD1 complex [GO:0031436]; chromosome [GO:0005694]; cytoplasm [GO:0005737]
Q09660	
Q966L8	nucleus [GO:0005634]
Q9NGJ7	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
G5ED29	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]
O62247	
O18303	chloride channel complex [GO:0034707]; plasma membrane [GO:0005886]
Q9NF14	cytoplasm [GO:0005737]; nucleus [GO:0005634]
G5EBI4	integral component of membrane [GO:0016021]
Q09602	nucleus [GO:0005634]
Q11174	extracellular region [GO:0005576]
Q20893	
Q21184	collagen trimer [GO:0005581]
O17901	COPI vesicle coat [GO:0030126]; Golgi membrane [GO:0000139]
Q09236	COPI-coated vesicle [GO:0030137]; COPI vesicle coat [GO:0030126]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]
Q9N4C2	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]
G5EGM3	nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669]
G5EEM6	cytosol [GO:0005829]; nucleus [GO:0005634]
Q22292	nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
P34344	
Q9TYU5	histone acetyltransferase complex [GO:0000123]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; Piccolo NuA4 histone acetyltransferase complex [GO:0032777]
Q18120	integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]
Q564U4	cilium [GO:0005929]
Q23194	autophagosome [GO:0005776]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; early endosome [GO:0005769]; endosome [GO:0005768]; HOPS complex [GO:0030897]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]
P06125	extracellular region [GO:0005576]
C0HLB4	integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar membrane [GO:0005774]
P19826	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; cytoskeleton [GO:0005856]; dense body [GO:0097433]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]; striated muscle dense body [GO:0055120]
P91309	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9XXU9	intracellular organelle [GO:0043229]; vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]
Q23088	chromosome [GO:0005694]
Q965Q8	endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q5FC62	
P34289	
P34469	
P34501	
Q21268	
P34376	
P34311	integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]
P42083	
P34674	
Q27GV2	
P34608	integral component of membrane [GO:0016021]
P41843	Noc4p-Nop14p complex [GO:0030692]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]
P41879	
Q09223	integral component of membrane [GO:0016021]
P34596	
Q09439	
Q27245	cytoplasm [GO:0005737]
P34557	integral component of membrane [GO:0016021]
P34558	mitochondrion [GO:0005739]
Q09350	
O01504	ribosome [GO:0005840]
Q95Y83	mitochondrial large ribosomal subunit [GO:0005762]
Q9GYS9	mitochondrial large ribosomal subunit [GO:0005762]
Q69Z08	axonemal microtubule [GO:0005879]; ciliary base [GO:0097546]; ciliary membrane [GO:0060170]; ciliary transition zone [GO:0035869]; cytoplasmic microtubule [GO:0005881]; integral component of membrane [GO:0016021]; microtubule [GO:0005874]; microtubule organizing center [GO:0005815]
Q10578	RNA polymerase II, core complex [GO:0005665]
Q10667	nuclear speck [GO:0016607]; nucleus [GO:0005634]
P51404	cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]
P34619	nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]
P34551	integral component of membrane [GO:0016021]
Q95XQ1	nuclear speck [GO:0016607]
O45291	nucleus [GO:0005634]
Q22866	actin filament [GO:0005884]; cytoplasm [GO:0005737]; I band [GO:0031674]; striated muscle thin filament [GO:0005865]
H2KZM9	axon [GO:0030424]; cilium [GO:0005929]; dendrite [GO:0030425]; perikaryon [GO:0043204]
P90978	commitment complex [GO:0000243]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U2AF [GO:0089701]; U2-type prespliceosome [GO:0071004]
O45495	cytosol [GO:0005829]; dendrite [GO:0030425]; neuron projection [GO:0043005]; nucleus [GO:0005634]; perikaryon [GO:0043204]
O61460	axon [GO:0030424]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
G5ED65	integral component of plasma membrane [GO:0005887]; receptor complex [GO:0043235]
Q11192	
Q09283	
Q10921	
Q09295	
Q11081	
Q10030	
Q09266	
Q17426	nucleus [GO:0005634]
Q09595	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q09378	
Q93408	cytosol [GO:0005829]; nucleus [GO:0005634]
P34303	nucleus [GO:0005634]
Q95ZY2	dendrite [GO:0030425]; integral component of membrane [GO:0016021]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]
G5EBN9	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q03563	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P52274	cytoplasm [GO:0005737]; microtubule [GO:0005874]
Q9U3H8	ciliary basal body [GO:0036064]; endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]
Q9TYN3	transcription factor TFIID complex [GO:0005669]
Q19691	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
Q9XWV0	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
Q19329	nucleolus [GO:0005730]; preribosome, small subunit precursor [GO:0030688]
O62252	CIA complex [GO:0097361]
Q9U3R0	extracellular region [GO:0005576]
P34711	AP-1 adaptor complex [GO:0030121]; AP-2 adaptor complex [GO:0030122]; excitatory synapse [GO:0060076]; integral component of plasma membrane [GO:0005887]; integral component of synaptic vesicle membrane [GO:0030285]; neuron projection [GO:0043005]; organelle membrane [GO:0031090]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; terminal bouton [GO:0043195]
O62275	perinuclear region of cytoplasm [GO:0048471]
Q23229	nucleus [GO:0005634]
Q94130	cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
Q22700	integral component of membrane [GO:0016021]
Q20762	integral component of membrane [GO:0016021]; nucleus [GO:0005634]
Q22701	integral component of membrane [GO:0016021]
P34361	
P34304	box C/D snoRNP complex [GO:0031428]; Cajal body [GO:0015030]; small-subunit processome [GO:0032040]
P34320	
P34321	
Q8IG42	
P34395	
P41993	actin filament [GO:0005884]
P46499	integral component of membrane [GO:0016021]
P41880	nucleolus [GO:0005730]
P34645	
Q09246	
P34565	
P45965	mitochondrion [GO:0005739]
Q11115	
Q11090	cytoplasm [GO:0005737]
Q11075	
Q09504	
P48459	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q19005	
Q09465	
Q10919	
E9P860	nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q09419	
Q22453	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]
Q21376	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; Golgi stack [GO:0005795]
P12456	cytoplasm [GO:0005737]; microtubule [GO:0005874]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]
Q9NEX2	transcription factor TFIIA complex [GO:0005672]
O17212	nucleus [GO:0005634]
O01479	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; myofibril [GO:0030016]; striated muscle thin filament [GO:0005865]; terminal web [GO:1990357]
P34693	axon [GO:0030424]; dense core granule [GO:0031045]; exocytic vesicle [GO:0070382]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]
Q27249	actin filament [GO:0005884]; cytoplasm [GO:0005737]; striated muscle thin filament [GO:0005865]
Q8I7H9	cell surface [GO:0009986]; extracellular region [GO:0005576]
G5EE86	axon [GO:0030424]; nucleus [GO:0005634]; perikaryon [GO:0043204]
Q18493	cytoplasm [GO:0005737]
Q23551	A band [GO:0031672]; M band [GO:0031430]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]
G5EES6	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q23680	membrane [GO:0016020]; proton-transporting V-type ATPase, V1 domain [GO:0033180]
P52882	extracellular region [GO:0005576]
Q9BPN8	integral component of membrane [GO:0016021]
Q18473	integral component of membrane [GO:0016021]
P34528	endosome [GO:0005768]; lysosome [GO:0005764]
P34633	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P34671	
Q09217	U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
Q11188	nucleolar ribonuclease P complex [GO:0005655]; ribonuclease MRP complex [GO:0000172]
P34627	
Q93196	mitochondrion [GO:0005739]
G4SDH4	integral component of plasma membrane [GO:0005887]
Q9BLB6	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2 snRNP [GO:0005686]
B7FAS6	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q19325	cohesin complex [GO:0008278]; cytoplasm [GO:0005737]; nuclear cohesin complex [GO:0000798]; nucleus [GO:0005634]
Q93575	nucleus [GO:0005634]
P50605	cell junction [GO:0030054]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]
Q17760	integral component of membrane [GO:0016021]
Q95Q00	anaphase-promoting complex [GO:0005680]
Q9NAD6	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q09512	endoplasmic reticulum [GO:0005783]; sarcomere [GO:0030017]; striated muscle dense body [GO:0055120]
Q95017	nuclear envelope [GO:0005635]; nucleus [GO:0005634]
G5EDZ2	cytoplasm [GO:0005737]
Q10658	axon [GO:0030424]; cilium [GO:0005929]
Q09462	nucleolus [GO:0005730]; small-subunit processome [GO:0032040]
P91303	vacuolar proton-transporting V-type ATPase complex [GO:0016471]
P34260	apical plasma membrane [GO:0016324]; CORVET complex [GO:0033263]; early endosome [GO:0005769]; HOPS complex [GO:0030897]; late endosome [GO:0005770]; lysosome [GO:0005764]
Q9XWU8	cytoplasm [GO:0005737]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q09604	nucleus [GO:0005634]
Q09466	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P48322	
P53015	PAN complex [GO:0031251]; P-body [GO:0000932]
P34535	integral component of plasma membrane [GO:0005887]
Q21874	integral component of membrane [GO:0016021]; nucleus [GO:0005634]
P54073	nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]
Q09358	
Q09421	
Q20963	dendrite [GO:0030425]; integral component of membrane [GO:0016021]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]
O02241	integral component of membrane [GO:0016021]
H2KZU7	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
Q9U2G0	nucleus [GO:0005634]; spliceosomal complex [GO:0005681]
Q11098	axon [GO:0030424]; dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P34519	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
Q8WTJ4	
G5EFD5	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P52906	nucleus [GO:0005634]
Q01630	axon [GO:0030424]; cytosol [GO:0005829]; dendrite [GO:0030425]; neuron projection [GO:0043005]
Q11182	endosome [GO:0005768]; HOPS complex [GO:0030897]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]
Q09349	cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]
A5JYQ9	endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; integral component of membrane [GO:0016021]; vacuole [GO:0005773]
O01901	cytoplasm [GO:0005737]; WASH complex [GO:0071203]
Q94129	cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
P41846	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
Q9U7D3	extracellular region [GO:0005576]
Q9U2T3	
O02485	
Q18347	endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]
Q19404	axoneme [GO:0005930]; ciliary base [GO:0097546]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
P34292	
P34657	early endosome [GO:0005769]
P34651	
P34488	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P34364	integral component of membrane [GO:0016021]
P34509	
P34600	nucleus [GO:0005634]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
P34675	BAT3 complex [GO:0071818]
P41942	peroxisome [GO:0005777]
P41845	
Q19948	extracellular region [GO:0005576]
P34554	
P45898	
Q09341	integral component of membrane [GO:0016021]
Q09950	
Q10125	
Q18416	integral component of membrane [GO:0016021]
Q9XTQ7	integral component of membrane [GO:0016021]
Q19191	nucleus [GO:0005634]
Q19297	cytoplasm [GO:0005737]
Q09365	
Q09257	
Q09352	
G5EFV3	centrosome [GO:0005813]; cytoplasm [GO:0005737]
P34659	catalytic step 2 spliceosome [GO:0071013]; small nucleolar ribonucleoprotein complex [GO:0005732]; U1 snRNP [GO:0005685]
Q3LFN0	integral component of plasma membrane [GO:0005887]
Q20787	Golgi apparatus [GO:0005794]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of Golgi membrane [GO:0030173]
Q8ITY4	catalytic step 2 spliceosome [GO:0071013]; precatalytic spliceosome [GO:0071011]; U2 snRNP [GO:0005686]; U2-type spliceosomal complex [GO:0005684]
Q9N4V4	
Q18425	axon [GO:0030424]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perikaryon [GO:0043204]; presynaptic periactive zone [GO:0036062]
P92001	integral component of membrane [GO:0016021]
Q93212	ionotropic glutamate receptor complex [GO:0008328]; neuron projection membrane [GO:0032589]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]
P46566	integral component of membrane [GO:0016021]
Q23064	integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]
Q21974	integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]
G5ECC7	chromosome [GO:0005694]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q18891	clathrin-coated vesicle [GO:0030136]; CORVET complex [GO:0033263]; early endosome [GO:0005769]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; recycling endosome [GO:0055037]
P34363	
P34515	
P41949	
P41953	
